CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles
929985,2025-00091483,14-Nov-25,11:58,Other,BROADWAY STREET,BATTEY STREET,Jephte Wagnac,141,14-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,0,Unknown,,,,,,,,2
929991,2025-00091592,14-Nov-25,18:36,Pedestrian,CANAL ST,WASHINGTON ST ,Tyler Calandra,418,14-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,"Yes, M/V and Driver Left Scene",No Controls,3,2,Complains Of Pain,,41.8267,-71.40953,1,,,,1
930007,2025-00091734,15-Nov-25,7:48,Other,Manton Ave ,Jullian Street,Jephte Wagnac,141,15-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,,,,,,,2
930016,2025-00091957,16-Nov-25,2:52,Other,FRIENDSHIP ST,RICHMOND ST ,Alexandria O'Loughlin,676,16-Nov-25,Unknown,"Mud, Dirt, Gravel",Dark - Not Lighted,Rain,Unknown,"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.82001,-71.41136,,,,,2
930068,2025-00092255,16-Nov-25,9:45,Pedestrian,N MAIN ST,DOYLE AVE ,J Clancy,999,17-Nov-25,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Other,No,Unknown,1,1,Complains Of Pain,,41.83834,-71.40923,1,,,,1
930097,2025-00091984,16-Nov-25,6:56,Other,Killingly St,KILLINGLY ST ,Ajay Subramaniam,569,18-Nov-25,"Two-Way , Not Divided",Unknown,Unknown,Rain,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,,41.81442,-71.46313,,,,,3
930696,2025-00092061,16-Nov-25,15:37,Bicycle,BROADWAY,VALLEY ST ,D WILSON,123,7-Dec-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dusk,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,0,No Injury,,41.81684,-71.441,,1,,,1
930113,2025-00092633,18-Nov-25,19:40,Pedestrian,GENTIAN AVE,LOTUS PL ,Robert Gaudiana,579,18-Nov-25,"Two-Way , Not Divided",Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Other,2,1,Complains Of Pain,,41.84864,-71.45044,1,,,,1
930116,2025-00092624,18-Nov-25,17:15,Pedestrian,S MAIN ST,S MAIN ST ,Stephanie Teran,625,18-Nov-25,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.82368,-71.40634,1,,,,1
930178,2025-00092867,18-Nov-25,18:45,Other,HAROLD ST,REGENT AVE ,J Clancy,999,20-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,Unknown,3,0,No Injury,,41.82964,-71.43869,,,,,1
930132,2025-00092704,19-Nov-25,6:42,Other,140 Regent Ave,HAROLD ST ,Anthony Nuzzo,663,19-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Stop Signs,3,0,Unknown,1,41.82969,-71.43905,,,,,2
930164,2025-00092838,19-Nov-25,19:00,Bicycle,College Rd,,David Forte,518,19-Nov-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Non-Incapacitating,,,,,1,,,1
930187,2025-00092950,20-Nov-25,9:02,Pedestrian,35 PLAINFIELD ST,DIKE ST ,Mariangie Ponder,150,20-Nov-25,Unknown,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,,41.81627,-71.44457,1,,,,1
930197,2025-00093082,20-Nov-25,17:09,Pedestrian,GEORGE ST,HOPE ST ,Tyler Calandra,418,20-Nov-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Other,No,No Controls,2,1,Complains Of Pain,,41.82579,-71.39727,1,,,,1
930240,2025-00093332,21-Nov-25,16:01,Bicycle,CHAD BROWN ST,CAMDEN AVE ,Raymond Criner,340,21-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Stop Signs,2,1,Complains Of Pain,,41.83888,-71.42671,,1,,,1
930284,2025-00093777,23-Nov-25,9:23,Pedestrian,EVERETT AVE,WAYLAND AVE ,Ptlm. Castagliuolo,351,23-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.83623,-71.38971,1,,,,1
930318,2025-00094138,24-Nov-25,16:58,Pedestrian,prairie ave,BOGMAN ST ,Tyler Calandra,418,24-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,No Controls,2,2,Complains Of Pain,,41.8062,-71.41509,1,,,,1
930328,2025-00094098,24-Nov-25,12:01,Other,NIANTIC AVE,NAVAHO ST ,Nicolas Lafazia,369,24-Nov-25,Unknown,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.79493,-71.43873,,,,,2
930337,2025-00094279,25-Nov-25,9:01,Other,VIOLET ST,CHALKSTONE AVE ,D WILSON,123,25-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),"Yes, Driver Left Scene",Stop Signs,1,0,No Injury,,41.83492,-71.42668,,,X,,2
930348,2025-00094296,25-Nov-25,10:03,Other,WASHINGTON ST,EMPIRE ST ,Ptlm. Castagliuolo,351,25-Nov-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Pavement Markings,4,0,No Injury,,41.82189,-71.41636,,,,,2
930391,2025-00094760,26-Nov-25,22:10,Other,125 KNIGHT ST,,Sean Cooney,523,27-Nov-25,One-Way Trafficway,Dry,Dark - Lighted,Clear,Angle - Direction Not Specified,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,,,,,,,2
930434,2025-00095479,29-Nov-25,17:54,Pedestrian,KENNEDY PLZ,DORRANCE ST ,Raymond Criner,340,29-Nov-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.82436,-71.41206,1,,,,1
930437,2025-00095441,29-Nov-25,15:55,Pedestrian,BROAD ST,FRICKER ST ,Caleb Jean Louis,471,29-Nov-25,Unknown,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,1,Complains Of Pain,,41.81532,-71.42064,1,,,,2
930444,2025-00095545,29-Nov-25,21:51,Other,MANTON AVE,ANDERSON ST ,Lane,109,29-Nov-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Stop Signs,1,1,Complains Of Pain,,41.82277,-71.45027,,1,,,1
930502,2025-00095780,30-Nov-25,22:04,Other,POINT ST,EAST FRANKLIN,Christian Main,145,1-Dec-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Dark - Lighted,Rain,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Traffic Control Signal,4,0,No Injury,2,,,,,,,2
930512,2025-00095974,1-Dec-25,16:47,Other,130 FILLMORE STREET,OREGON ST ,Ava Labouliere,475,1-Dec-25,One-Way Trafficway,Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,,41.83936,-71.4208,,,,,2
930546,2025-00096088,2-Dec-25,7:40,Other,DANFORTH ST,DANFORTH ST ,Jason Dennis,392,2-Dec-25,"Two-Way , Not Divided",Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,,41.83601,-71.42639,,1,,,1
930587,2025-00096457,3-Dec-25,16:20,Pedestrian,PUTNAM ST ,HALE ST ,Peyton Ginolfi,657,3-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.82386,-71.44388,1,,,,1
930593,2025-00096454,3-Dec-25,15:57,Pedestrian,SERVICE ROAD 7,BROADWAY ,Raymond Criner,340,3-Dec-25,One-Way Trafficway,Dry,Daylight,Clear,Other,No,Pavement Markings,5,0,No Injury,,41.8213,-71.42072,1,,,,2
930623,2025-00096790,4-Dec-25,17:54,Pedestrian,ELMWOOD AVE,POTTERS AVE,Nolasco,473,4-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Other,No,Traffic Control Signal,3,1,Complains Of Pain,,,,1,,,,1
930658,2025-00097066,5-Dec-25,16:40,Pedestrian,THURBERS AVE,PRAIRIE AVE ,Raymond Criner,340,5-Dec-25,"Two-Way , Not Divided",Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Pavement Markings,2,2,Complains Of Pain,,41.79873,-71.41191,2,,,,1
930659,2025-00097084,5-Dec-25,17:36,Pedestrian,OAKLAND AVE,SMITH ST ,Raymond Criner,340,5-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,4,1,Complains Of Pain,,41.83623,-71.43046,1,,,,1
930681,2025-00097210,6-Dec-25,2:57,Pedestrian,BRIDGE STREET,POINT ST ,Ricardo Sanchez,632,6-Dec-25,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,,41.81835,-71.40262,1,,,,1
930702,2025-00097612,7-Dec-25,18:51,Other,UNION AVE,POCASSET AVE ,Alexander Frias,669,7-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.80639,-71.45714,,,,,2
930797,2025-00098485,11-Dec-25,2:30,Bicycle,Thayer St/Waterman St,THAYER ST ,Gabrielle O'Loughlin,680,11-Dec-25,One-Way Trafficway,Wet,Dark - Lighted,Clear,Other,"Yes, M/V and Driver Left Scene",Traffic Control Signal,2,1,Complains Of Pain,,41.82728,-71.40054,,1,,,1
930842,2025-00098815,12-Dec-25,11:03,Pedestrian,KILLINGLY ST,HARTFORD AVE ,Ajay Subramaniam,569,12-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.81998,-71.46893,2,,,,1
931979,2025-00099362,14-Dec-25,10:44,Other,100 gaspee st,FRANCIS ST ,Ptlwm Robsham,455,14-Dec-25,"Two-Way , Not Divided",Snow,Daylight,Snow,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,4,0,No Injury,,41.82959,-71.41358,,,,,2
931919,2025-00099650,15-Dec-25,15:25,Pedestrian,COLE AVE,ROCHAMBEAU AVE ,Raymond Criner,340,15-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.8458,-71.38919,1,,,,1
931955,2025-00099932,16-Dec-25,18:49,Pedestrian,POCASSET AVE,MAGDALENE ST ,Lucas Ramalho,507,16-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Non-Incapacitating,,41.8084,-71.45572,1,,,,1
932000,2025-00100139,17-Dec-25,17:26,Pedestrian,WESTMINSTER ST,COLLEGE ST ,Raymond Criner,340,17-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,2,1,Complains Of Pain,,41.82529,-71.40895,1,,,,1
932029,2025-00100279,18-Dec-25,10:36,Other,MAYNARD STREET,ORTOLEVA DRIVE,Jephte Wagnac,141,18-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,,,,,,,2
932033,2025-00100288,18-Dec-25,11:11,Other,Chalkstone Ave ,Leah Street,Jephte Wagnac,141,18-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,,,,,,,2
932050,2025-00100385,18-Dec-25,17:03,Pedestrian,Manton Ave ,HYAT ST ,Tyler Calandra,418,18-Dec-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,5,3,Complains Of Pain,,41.8214,-71.44844,1,,,,2
932051,2025-00100355,18-Dec-25,15:32,Pedestrian,MEMORIAL BLVD,FRANCIS ST,Hansel Ventura,570,18-Dec-25,One-Way Trafficway,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Complains Of Pain,,41.82578,-71.41521,1,,,,1
932055,2025-00100403,18-Dec-25,18:03,Other,FRANCIS ST,EXIT 22A  (RT ),Hansel Ventura,570,18-Dec-25,One-Way Trafficway,Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,"Yes, M/V and Driver Left Scene",Traffic Control Signal,3,0,No Injury,,41.82568,-71.41523,,,,,2
932192,2025-00101599,23-Dec-25,13:02,Other,SPRUCE ST,ACORN ST ,A Valle,450,23-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.82437,-71.42784,,,,,2
932194,2025-00101591,23-Dec-25,11:56,Pedestrian,BROAD ST,MASSIE AVE ,J Clancy,999,23-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Unknown,1,1,Complains Of Pain,,41.80099,-71.41801,1,,,,1
932272,2025-00102092,23-Dec-25,18:45,Pedestrian,LEXINGTON AVE,ELMWOOD AVE ,Quincy Griffin,970,26-Dec-25,Unknown,Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Unknown,3,0,Unknown,,41.7972,-71.42564,2,,,,2
932273,2025-00101880,23-Dec-25,18:06,Other,9 DABOLL ST,,Quincy Griffin,970,26-Dec-25,Unknown,Dry,Dark - Lighted,Clear,Other,No,No Controls,2,0,No Injury,,,,,1,,,1
932231,2025-00101774,24-Dec-25,9:32,Pedestrian,1075 N MAIN ST,1ST ST ,Darren Hull,598,24-Dec-25,Unknown,Wet,Daylight,Rain,Other,No,Other,3,2,Complains Of Pain,,41.84997,-71.40303,1,,,,1
932387,2025-00101827,24-Dec-25,12:58,Other,Pocasset Ave,HAUXHURST ST ,Ajay Subramaniam,569,30-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,41.80778,-71.45616,,,,,2
932291,2025-00102273,26-Dec-25,19:44,Pedestrian,broad st,BROAD ST ,Serge Bouyssou,105,26-Dec-25,"Two-Way , Not Divided",Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.79756,-71.41388,1,,,,1
932332,2025-00102699,28-Dec-25,16:51,Bicycle,BROADWAY,TOBEY ST ,Brian Matos,466,28-Dec-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Slush,Dark - Not Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,3,1,Complains Of Pain,,41.81848,-71.43503,,1,,,1
932336,2025-00102734,28-Dec-25,20:04,Other,17 Middle DR,EAST DR ,Doudou Diedhiou,474,28-Dec-25,"Two-Way , Not Divided",Wet,Dark - Lighted,Rain,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Person,2,0,No Injury,,41.85172,-71.44404,,,,,2
932338,2025-00102664,28-Dec-25,13:54,Other,ADMIRAL ST,DOUGLAS AVE ,Caleb Jean Louis,471,29-Dec-25,Unknown,Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.84605,-71.429,,,,,2
932339,2025-00102779,29-Dec-25,7:21,Other, RUSHMORE AVE ,BEETLE ST ,C. Araujo,469,29-Dec-25,"Two-Way , Not Divided",Wet,Dark - Unknown Lighting,Clear,Unknown,"Yes, Driver Left Scene",No Controls,2,0,Unknown,,41.8263,-71.457,,,,,2
932343,2025-00102787,29-Dec-25,8:21,Other,LEAH ST. ,CHALKSTONE AVE ,C. Araujo,469,29-Dec-25,"Two-Way , Not Divided",Wet,Daylight,Rain,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,41.83224,-71.4516,,,,,2
932354,2025-00102838,29-Dec-25,12:27,Other,61 WILLARD AVE ,CULVER ST ,Rodrigo Sanchez,476,29-Dec-25,Unknown,Unknown,Dark - Lighted,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,,41.80928,-71.4083,,,,,2
932368,2025-00102916,29-Dec-25,19:56,Pedestrian,WASHINGTON ST,MEMORIAL BLVD ,Lucas Ramalho,507,29-Dec-25,"Two-Way, Divided, Positive Median Barrier",Wet,Dark - Lighted,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Non-Incapacitating,,41.82635,-71.41015,1,,,,1
932421,2025-00103321,31-Dec-25,16:36,Pedestrian,EMPIRE ST,WASHINGTON ST ,Tyler Calandra,418,31-Dec-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,1,Complains Of Pain,,41.82185,-71.41648,1,,,,1
