CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
925618,2025-00049863,2025-06-30,12:08:00 AM,Vehicle - Vehicle,,61 LABAN STREET,,Angel Garcia,656,2025-06-30,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, Driver Left Scene",No Controls,4,0,Unknown,3,,,
925622,2025-00049921,2025-06-30,6:31:00 AM,Vehicle - Parked Vehicle,,94 SASSAFRAS ST,SAVINGS ST,Hansel Ventura,570,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.79392,-71.41374
925624,2025-00049946,2025-06-30,8:15:00 AM,Vehicle - Vehicle,,CHACE AVENUE,GREATON DRIVE,Joseph Madeira,552,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,2,41.83149,-71.41766
925626,2025-00049919,2025-06-30,6:27:00 AM,Vehicle - Vehicle,,TOCKWOTTON ST,S MAIN ST,Michael Cifuentes,330,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Stop Signs,3,0,No Injury,2,,41.81692,-71.4001
925627,2025-00049951,2025-06-30,9:12:00 AM,Vehicle - Vehicle,,VALLEY ST,HEMLOCK ST,Damaris Sanchez,566,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,2,0,No Injury,2,,41.83044,-71.43051
925630,2025-00049995,2025-06-30,11:58:00 AM,Vehicle - Vehicle,,MARLBOROUGH AVE,BROAD ST,Hansel Ventura,570,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Stop Signs,2,0,No Injury,2,,41.80573,-71.41976
925636,2025-00050035,2025-06-30,3:14:00 PM,Vehicle - Vehicle,,ADMIRAL STREET,BURNS ST,Arthur Lima,126,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,,41.85375,-71.44648
925637,2025-00050037,2025-06-30,3:18:00 PM,Vehicle - Object,,LA VAUGHN ST,ATWELLS AVE,Peyton Ginolfi,657,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,No Controls,0,0,Unknown,1,,41.82428,-71.45017
925638,2025-00050067,2025-06-30,4:30:00 PM,Vehicle - Vehicle,,557 Broad Street,PARKIS AVE,Cassidy Simanski,132,2025-06-30,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,,41.80931,-71.42089
925639,2025-00050083,2025-06-30,5:51:00 PM,Vehicle - Parked Vehicle,,593 EDDY ST,,Raleek Byfield,375,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Rear,No,No Controls,5,0,No Injury,2,,,
925640,2025-00050086,2025-06-30,5:39:00 PM,Vehicle - Vehicle,,STEEPLE ST,CANAL ST,Stephanie Teran,625,2025-06-30,One-Way Trafficway,Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,7,0,No Injury,2,,41.82722,-71.40977
925642,2025-00050099,2025-06-30,6:21:00 PM,Vehicle - Vehicle,,CRANSTON ST,HUNTINGTON AVE,Cory Nicholls,609,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,Traffic Control Signal,4,0,No Injury,2,,41.80373,-71.43926
925643,2025-00050101,2025-06-30,6:30:00 PM,Vehicle - Vehicle,,Washington St,EMPIRE ST,Matthew Kelley,186,2025-06-30,"Two-Way , Not Divided",Dry,Dusk,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,5,0,No Injury,2,,41.82182,-71.41645
925644,2025-00050036,2025-06-30,3:17:00 PM,Vehicle - Vehicle,,365 Charles St.,EXIT  (RT ),Mark Roman,120,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,No Controls,3,0,No Injury,2,,41.84185,-71.41775
925647,2025-00050023,2025-06-30,10:40:00 AM,Vehicle - Parked Vehicle,,ATWELLS AVE,,Jason Clancy,999,2025-07-01,Unknown,Dry,Daylight,Clear,Unknown,No,Unknown,2,1,Complains Of Pain,2,,,
925633,2025-00050012,2025-06-30,1:14:00 PM,Vehicle - Parked Vehicle,,DE PASQUALE AVENUE,ATWELLS AVE,Hildenise Espanol,137,2025-06-30,Unknown,Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,No,No Controls,3,0,No Injury,2,,41.82347,-71.42686
925650,2025-00050131,2025-06-30,7:30:00 AM,Vehicle - Vehicle,,DEAN ST,W EXCHANGE ST,Jason Clancy,999,2025-07-01,Unknown,Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,,
925661,2025-00050110,2025-06-30,7:02:00 PM,Vehicle - Vehicle,,SMITHFIELD AVE,COLLYER ST,Patrick Hourahan,243,2025-07-01,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,2,0,No Injury,2,,41.85423,-71.40374
925666,2025-00050122,2025-06-30,7:48:00 PM,Vehicle - Vehicle,,INDIA ST,195 EAST GANO STREET OFF RAMP,Luis Pelaez,336,2025-07-01,"Two-Way , Not Divided",Dry,Dusk,Clear,Rear End(Front-to-Rear),No,No Controls,5,1,Complains Of Pain,2,,41.81795,-71.39095
925674,2025-00049987,2025-06-30,11:19:00 PM,Vehicle - Vehicle,,1 Pocasset Ave,BANCROFT ST,Stephen Noti,119,2025-07-02,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Side,No,No Controls,3,0,No Injury,2,,41.8134,-71.44829
925722,2025-00050913,2025-06-30,5:40:00 PM,Vehicle - Parked Vehicle,,HOPE ST,,Jason Clancy,999,2025-07-03,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,2,0,No Injury,2,,,
925679,2025-00050375,2025-06-29,10:30:00 PM,Vehicle - Parked Vehicle,,KENYON ST APT 1,,Jason Clancy,999,2025-07-02,Unknown,Dry,Dark - Unknown Lighting,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,,
925685,2025-00049707,2025-06-29,2:26:00 PM,Vehicle - Vehicle,,POTTERS AVE,CALDER ST,Andrew Brodeur,158,2025-07-02,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,2,,
925696,2025-00049748,2025-06-29,4:51:00 PM,Vehicle - Vehicle,,BROADWAY,SERVICE ROAD 7,N Ayala,122,2025-07-02,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,3,0,No Injury,2,,41.82186,-71.42079
925756,2025-00049702,2025-06-29,2:15:00 PM,Vehicle - Parked Vehicle,,PINE ST,DYER ST,Lucio Andreozzi,381,2025-07-05,One-Way Trafficway,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82379,-71.40877
925663,2025-00049794,2025-06-29,8:22:00 PM,Vehicle - Vehicle,,HARTFORD AVE,LAUREL HILL AVE,Brendan O'Brien,667,2025-07-01,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,2,0,No Injury,2,,41.81795,-71.45532
925665,2025-00049801,2025-06-29,8:50:00 PM,Vehicle - Vehicle,,HARTFORD AVE,ETNA ST,Brendan O'Brien,667,2025-07-01,"Two-Way , Not Divided",Dry,Dusk,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,5,0,No Injury,2,,41.81735,-71.45075
925652,2025-00050045,2025-06-29,10:53:00 PM,Vehicle - Vehicle,,ATWELLS AVE,HANNAH ST,Jason Clancy,999,2025-07-01,"Two-Way , Not Divided",Dry,Dark - Unknown Lighting,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.82507,-71.44867
925635,2025-00049809,2025-06-29,9:33:00 PM,Vehicle - Vehicle,,BRIDGE ST,POINT ST,Luis Pelaez,336,2025-06-30,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,4,0,No Injury,3,,41.81783,-71.40205
925649,2025-00049998,2025-06-29,2:00:00 PM,Vehicle - Parked Vehicle,,MEDWAY,GANO,Jason Clancy,999,2025-07-01,Unknown,Dry,Daylight,Clear,Other,No,Unknown,2,0,Unknown,2,,,
925632,2025-00049706,2025-06-29,2:24:00 PM,Vehicle - Parked Vehicle,,GLOSSOP ST,LAKEWOOD ST,Kyana Williams,426,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.83802,-71.46995
925629,2025-00049744,2025-06-29,4:29:00 PM,Vehicle - Parked Vehicle,,MOORLAND AVE,RIVER AVE,Raymond Criner,340,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,No Controls,3,0,No Injury,2,,41.83759,-71.43931
925593,2025-00049585,2025-06-29,2:08:00 AM,Vehicle - Parked Vehicle,,WESTMINSTER ST,KNIGHT ST,Domenic Schiavulli,653,2025-06-29,Unknown,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,2,,41.81706,-71.42709
925594,2025-00049661,2025-06-29,10:38:00 AM,Vehicle - Vehicle,,POCASSET AVENUE,LAUREL HILL AVE,Patrolwoman Addai,513,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, Driver Left Scene",Unknown,3,1,Complains Of Pain,2,2,41.81121,-71.45258
925595,2025-00049649,2025-06-29,9:41:00 AM,Vehicle - Pedestrian,Pedestrian,BROADWAY,KNIGHT ST,Raleek Byfield,375,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Traffic Control Signal,3,1,Non-Incapacitating,1,,41.8198,-71.42933
925596,2025-00049682,2025-06-29,12:52:00 PM,Vehicle - Vehicle,,JAMES ST,BENEFIT ST,Michael Cifuentes,330,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Stop Signs,3,0,No Injury,2,,41.82105,-71.40229
925597,2025-00049688,2025-06-29,1:38:00 PM,Vehicle - Vehicle,,PLAINFIELD STREET,SEVIER STREET,Patrolwoman Addai,513,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,5,3,Complains Of Pain,2,2,,
925599,2025-00049709,2025-06-29,2:37:00 PM,Vehicle - Vehicle,,EATON STREET,MALBONE ST,Ian Quinn,102,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,2,41.84093,-71.42769
925600,2025-00049724,2025-06-29,3:25:00 PM,Vehicle - Parked Vehicle,,SEEKONK ST,BUTLER AVE,Stephanie Teran,625,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82751,-71.38631
925601,2025-00049738,2025-06-29,4:04:00 PM,Vehicle - Vehicle,,BRANCH AVE,LANGDON ST,Ptlm. Labutti,104,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,2,,41.85209,-71.42418
925602,2025-00049739,2025-06-29,4:09:00 PM,Vehicle - Vehicle,,POCASSET AVE,DUNFORD ST,Terrence Gibson,610,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.81249,-71.44938
925604,2025-00049764,2025-06-29,6:08:00 PM,Vehicle - Vehicle,,Berlin Street,CHALKSTONE AVE,Atanael Lara,129,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.83227,-71.44173
925608,2025-00049760,2025-06-29,5:54:00 PM,Vehicle - Vehicle,,EASTWOOD AVE,LAUREL HILL AVE,Raymond Criner,340,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Stop Signs,6,2,Complains Of Pain,2,,41.81526,-71.45578
925609,2025-00049730,2025-06-29,3:45:00 PM,Vehicle - Parked Vehicle,,public st,PLAIN ST,Serge Bouyssou,105,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,2,0,No Injury,2,,41.80667,-71.41002
925610,2025-00049722,2025-06-29,3:16:00 PM,Vehicle - Vehicle,,PARKIS AVE,BROAD ST,Cassidy Simanski,132,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,4,0,No Injury,2,,41.80915,-71.42085
925611,2025-00049782,2025-06-29,7:42:00 PM,Vehicle - Vehicle,,Dave Gavitt Way,BROAD ST,Matthew Kelley,186,2025-06-29,One-Way Trafficway,Dry,Dusk,Clear,"Sideswipe, Same Direction",No,No Controls,4,0,No Injury,2,,41.81848,-71.41712
925612,2025-00049749,2025-06-29,4:54:00 PM,Vehicle - Vehicle,,CHARLES STREET,RANDALL ST,Manuel Tueros,621,2025-06-29,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Traffic Control Signal,2,0,No Injury,2,,41.83614,-71.4121
925613,2025-00049828,2025-06-29,10:18:00 PM,Vehicle - Vehicle,,HANNAH ST,ATWELLS AVE,Tyler Cargill,619,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,5,1,Complains Of Pain,2,,41.82506,-71.44863
925614,2025-00049832,2025-06-29,10:29:00 PM,Vehicle - Vehicle,,MAWNEY ST,BUCKLIN ST,Tyler Cargill,619,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,"Yes, M/V and Driver Left Scene",Stop Signs,2,0,No Injury,2,,41.80354,-71.4277
925615,2025-00049831,2025-06-29,10:24:00 PM,Vehicle - Parked Vehicle,,EMPIRE ST,WESTMINSTER ST,Stephen Sage,353,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Angle - Direction Not Specified,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82102,-71.41538
925616,2025-00049833,2025-06-29,10:59:00 PM,Vehicle - Vehicle,,BROAD ST,BROAD ST,Lane,109,2025-06-29,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Unknown,"Yes, M/V and Driver Left Scene",Stop Signs,3,1,Non-Incapacitating,2,,41.79692,-71.41307
925617,2025-00049568,2025-06-29,1:34:00 AM,Vehicle - Vehicle,,CORINTH ST,SAVINGS ST,Adrian Francis,239,2025-06-30,One-Way Trafficway,Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,4,0,No Injury,2,,41.79381,-71.41255
925588,2025-00049569,2025-06-29,1:45:00 AM,Vehicle - Parked Vehicle,,SPOONER STREET,ELMWOOD AVE,Manuel Tueros,621,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sidwswipe, Opposite Direction",No,No Controls,3,0,No Injury,2,,41.77811,-71.42107
925589,2025-00049535,2025-06-29,12:32:00 AM,Vehicle - Vehicle,,FRIENDSHIP ST,GARNET ST,James Gaspar,683,2025-06-29,Unknown,Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,,41.8211,-71.41029
925590,2025-00049603,2025-06-29,3:06:00 AM,Vehicle - Vehicle,,BUCKLIN ST,BELLEVUE AVE,Hector Viruet,614,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Opposite Direction,"Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,2,,41.80703,-71.42786
925591,2025-00049533,2025-06-29,12:23:00 AM,Vehicle - Parked Vehicle,,ATLANTIC AVE,NIAGARA ST,Adrian Francis,239,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.79935,-71.41628
925592,2025-00049518,2025-06-28,11:43:00 PM,Vehicle - Pedestrian,Pedestrian,CRANSTON ST,BELLEVUE AVE,Lucas Ramalho,507,2025-06-29,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,1,,41.80901,-71.43396
925574,2025-00049286,2025-06-28,11:08:00 AM,Vehicle - Vehicle,,SPRAGUE ST,FULLER ST,Manuel Vlaun,551,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,3,,41.80956,-71.42603
925575,2025-00049314,2025-06-28,2:54:00 PM,Vehicle - Pedestrian,Pedestrian,Broad St,WESLEYAN AVE,Tyler Calandra,418,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,1,,41.80771,-71.4204
925578,2025-00049330,2025-06-28,3:14:00 PM,Vehicle - Vehicle,,POCASSET AVE,UNION AVE,Alexander Frias,669,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.80627,-71.45722
925579,2025-00049351,2025-06-28,3:59:00 PM,Vehicle - Vehicle,,RAILROAD ST,EXCHANGE ST,Manuel Tueros,621,2025-06-28,One-Way Trafficway,Dry,Daylight,Cloudy,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,2,,41.82895,-71.41306
925580,2025-00049383,2025-06-28,6:30:00 PM,Vehicle - Vehicle,,HOPE STREET,BURLINGTON ST,Ricardo Sanchez,632,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,No,No Controls,3,0,No Injury,2,2,41.84773,-71.39564
925583,2025-00049412,2025-06-28,7:44:00 PM,Vehicle - Vehicle,,WEEDEN ST,ATWELLS AVE,Elijah Perry,618,2025-06-28,One-Way Trafficway,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,,41.82311,-71.42444
925584,2025-00049423,2025-06-28,8:27:00 PM,Vehicle - Object,,MADISON ST,POTTERS AVE,Lucas Ramalho,507,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,0,No Injury,1,,41.80209,-71.42942
925585,2025-00049381,2025-06-28,6:26:00 PM,Vehicle - Pedestrian,Bicycle,SMITH ST,GASPEE ST,Ptlm. Castagliuolo,351,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,1,,41.83154,-71.41296
925586,2025-00049465,2025-06-28,10:00:00 PM,Vehicle - Vehicle,,HARTFORD AVE,HEATH ST,Brandon Macedo,177,2025-06-28,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,6,1,Complains Of Pain,3,,,
925587,2025-00049472,2025-06-28,9:58:00 PM,Vehicle - Parked Vehicle,,114 Devonshire Street,Admiral Street,Robert Raso,606,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Rear,No,No Controls,2,0,No Injury,2,,,
925570,25-000429217,2025-06-28,2:15:00 AM,Vehicle - Object,,DAVE GAVITT WAY,ATWELLS AVE,Jacob Coro,664,2025-06-28,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,0,No Injury,1,,41.82312,-71.42026
925571,2025-00049271,2025-06-28,9:49:00 AM,Vehicle - Pedestrian,Bicycle,ROANOKE ST,ACADEMY AVE,Jephte Wagnac,141,2025-06-28,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction",No,No Controls,4,0,No Injury,1,,41.83168,-71.44442
925572,2025-00049292,2025-06-28,11:48:00 AM,Vehicle - Pedestrian,Pedestrian,CHARLES ST,BRANCH AVE,Raleek Byfield,375,2025-06-28,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Cloudy,Angle (Front - to - Side) Opposite Direction,No,Traffic Control Signal,2,1,Complains Of Pain,1,,41.85026,-71.41998
925598,2025-00049418,2025-06-28,7:51:00 PM,Vehicle - Parked Vehicle,,SALMON ST,KING ST,Peyton Ginolfi,657,2025-06-29,Unknown,Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82408,-71.45473
925628,2025-00049303,2025-06-28,12:48:00 PM,Vehicle - Vehicle,,SILVER SPRING ST,BRANCH AVE,John Benros,481,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,5,0,No Injury,2,,41.84778,-71.41478
925658,2025-00050285,2025-06-28,11:15:00 AM,Vehicle - Vehicle,,BRANCH AVE,,Jason Clancy,999,2025-07-01,Unknown,Dry,Daylight,Clear,Other,No,Unknown,2,0,Unknown,2,,,
925802,2025-00049300,2025-06-28,12:17:00 PM,Vehicle - Parked Vehicle,,UNION ST,WESTMINSTER ST,Michael Baldassare,568,2025-07-07,One-Way Trafficway,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,1,Complains Of Pain,2,,41.82287,-71.41305
925810,2025-00052353,2025-06-28,10:30:00 AM,Vehicle - Vehicle,,BRANCH AVE,,Jason Clancy,999,2025-07-07,Unknown,Dry,Daylight,Clear,Rear - to - Side,No,Unknown,2,0,Unknown,2,,,
925680,2025-00048986,2025-06-27,1:19:00 PM,Vehicle - Vehicle,,CULVER ST,WILLARD AVE,Gustavo Genao,135,2025-07-02,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.80959,-71.40839
925657,2025-00048920,2025-06-27,7:35:00 AM,Vehicle - Vehicle,,OXFORD ST,EDDY ST,Gustavo Genao,135,2025-07-01,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Stop Signs,2,0,No Injury,2,,41.8031,-71.40669
925634,2025-00049004,2025-06-27,2:49:00 PM,Vehicle - Vehicle,,ELMWOOD AVE,LEXINGTON AVE,Jason Clancy,999,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Unknown,2,0,Unknown,2,,41.79718,-71.42572
925553,2025-00048964,2025-06-27,11:20:00 AM,Vehicle - Vehicle,,POTTERS AVE,ELMWOOD AVE,Thomas Jones,160,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Traffic Control Signal,4,0,No Injury,2,,41.80151,-71.42635
925554,2025-00048981,2025-06-27,12:32:00 PM,Vehicle - Vehicle,,Broad Street,BROAD ST,Manuel Vlaun,551,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,3,2,Complains Of Pain,2,,41.81331,-71.42163
925559,2025-00049003,2025-06-27,3:00:00 PM,Vehicle - Parked Vehicle,,Potters Ave,MELROSE ST,Gerry Kue,393,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,,41.80131,-71.42538
925560,2025-00049028,2025-06-27,4:00:00 PM,Vehicle - Pedestrian,Pedestrian,FLOWER ST,WHELAN RD,Tyler Calandra,418,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,2,Complains Of Pain,1,,41.81854,-71.45689
925561,2025-00049049,2025-06-27,5:04:00 PM,Vehicle - Pedestrian,Pedestrian,ADMIRAL ST,HAWKINS ST,Tyler Calandra,418,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,1,,41.84593,-71.42843
925562,2025-00048966,2025-06-27,11:30:00 AM,Vehicle - Vehicle,,BRANCH AVE,BRANCH AVE EXIT,John Benros,481,2025-06-27,Unknown,Dry,Daylight,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.8466,-71.41208
925563,2025-00049019,2025-06-27,3:31:00 PM,Vehicle - Vehicle,,BRANCH AVE EXIT,BRANCH AVE,John Benros,481,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,6,0,No Injury,2,,41.84611,-71.41133
925566,2025-00049096,2025-06-27,7:58:00 PM,Vehicle - Vehicle,,251 ORMS ST,WINSOR ST,David Palumbo,106,2025-06-27,"Two-Way , Not Divided",Dry,Dusk,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.83403,-71.42029
925567,2025-00049076,2025-06-27,6:43:00 PM,Vehicle - Vehicle,,HERSCHEL ST,KLONDIKE ST,Robert Gaudiana,579,2025-06-27,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,,41.83616,-71.47038
925569,2025-00049010,2025-06-27,3:06:00 PM,Vehicle - Pedestrian,Pedestrian,WENDELL ST,SUPERIOR ST,Elijah Perry,618,2025-06-27,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.81118,-71.43335
925576,2025-00048999,2025-06-27,2:01:00 PM,Vehicle - Vehicle,,EDDY ST,DUDLEY ST EXIT 19,Lucio Andreozzi,381,2025-06-28,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,3,0,No Injury,2,,41.81082,-71.40718
925577,2025-00049125,2025-06-27,9:28:00 PM,Vehicle - Parked Vehicle,,AMHERST ST,PUTNAM ST,Peyton Ginolfi,657,2025-06-28,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82338,-71.444
