CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
922444,2025-00019347,2025-03-19,9:35:00 PM,Vehicle - Vehicle,,FROST ST,N MAIN ST,Manuel Tueros,621,2025-03-19,One-Way Trafficway,Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Opposite Direction,"Yes, M/V and Driver Left Scene",Traffic Control Signal,4,0,No Injury,2,,41.85145,-71.40278
922209,2025-00017425,2025-03-19,5:58:00 PM,Vehicle - Parked Vehicle,,BOWDOIN ST,KOSSUTH ST,Alexander Frias,669,2025-03-12,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,1,1,Non-Incapacitating,2,,,
922392,2025-00018877,2025-03-18,7:21:00 AM,Vehicle - Vehicle,,ACADEMY AVE,BELMONT AVE,Raleek Byfield,375,2025-03-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Other,3,0,No Injury,2,,41.83218,-71.44449
922393,2025-00018893,2025-03-18,9:24:00 AM,Vehicle - Vehicle,,HARRISON ST,WESTMINSTER ST,Mario Andrade,130,2025-03-18,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Cloudy,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,,41.81671,-71.43031
922401,2025-00018933,2025-03-18,12:30:00 PM,Vehicle - Vehicle,,186 wayland ave,WATERMAN ST,Louis Gianfrancesco,350,2025-03-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,1,41.82888,-71.3883
922425,2025-00018965,2025-03-18,2:23:00 PM,Vehicle - Vehicle,,Orms Street,DOUGLAS AVE,Luis Garcia Colon,128,2025-03-19,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,4,0,No Injury,2,,41.83471,-71.41593
922419,2025-00019076,2025-03-18,8:06:00 PM,Vehicle - Vehicle,,CLIFFORD ST,,Jason Clancy,999,2025-03-19,Unknown,Dry,Dark - Unknown Lighting,Clear,Rear End(Front-to-Rear),No,Unknown,3,0,Unknown,2,,41.8165,-71.41368
922421,2025-00019028,2025-03-18,3:20:00 PM,Vehicle - Pedestrian,Pedestrian,LAUREL HILL AVE,HARTFORD AVE,Jason Clancy,999,2025-03-19,Unknown,Dry,Daylight,Clear,Other,"Yes, M/V and Driver Left Scene",Unknown,1,1,Non-Incapacitating,1,,41.81792,-71.45533
922415,2025-00019085,2025-03-18,10:57:00 PM,Vehicle - Object,,MERINO ST,LABAN ST,Pedro Saravia,611,2025-03-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,0,No Injury,1,,41.81441,-71.45765
922403,2025-00019014,2025-03-18,4:48:00 PM,Vehicle - Vehicle,,ANGELL ST,IVES ST,Jared Guiot,608,2025-03-18,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.82917,-71.39313
922404,2025-00019043,2025-03-18,6:20:00 PM,Vehicle - Vehicle,,THAYER ST,EUCLID AVE,Vincent Pazzetta,641,2025-03-18,One-Way Trafficway,Dry,Daylight,Clear,Other,No,No Controls,3,0,No Injury,2,,41.82856,-71.40071
922405,2025-00019047,2025-03-18,6:03:00 PM,Vehicle - Parked Vehicle,,RIVER AVE,CHALKSTONE AVE,Atanael Lara,129,2025-03-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.83271,-71.43858
922409,2025-00019007,2025-03-18,4:01:00 PM,Vehicle - Vehicle,,DEAN ST,KINSLEY AVE,Robert Gaudiana,579,2025-03-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.82758,-71.42618
922410,2025-00018977,2025-03-18,2:39:00 PM,Vehicle - Object,,RHODES ST,EDDY ST,Matthew Carlone,602,2025-03-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,No,No Controls,1,0,Unknown,1,,41.80845,-71.4067
922411,2025-00019038,2025-03-18,5:58:00 PM,Vehicle - Vehicle,,FELIX ST,CHALKSTONE AVE,Ryan Fernandes,125,2025-03-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Stop Signs,4,1,Complains Of Pain,2,,41.83457,-71.42839
922412,2025-00018996,2025-03-18,3:52:00 PM,Vehicle - Vehicle,,SOMERSET ST,,Jose Cortorreal,604,2025-03-18,One-Way Trafficway,Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,7,3,Complains Of Pain,2,,41.81216,-71.41911
922413,2025-00019081,2025-03-18,10:23:00 PM,Vehicle - Parked Vehicle,,GROSVENOR AVE,CHALKSTONE AVE,Lucas Ramalho,507,2025-03-19,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Other,No,No Controls,5,0,No Injury,2,,41.83361,-71.43953
922469,2025-00018972,2025-03-18,2:44:00 PM,Vehicle - Vehicle,,ELMWOOD AVE,WARRINGTON ST,Johansell Montilla,627,2025-03-20,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.79333,-71.42357
922464,2025-00019054,2025-03-18,7:06:00 PM,Vehicle - Vehicle,,LONGFELLOW TER,CADILLAC DR,Johansell Montilla,627,2025-03-20,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,No,Stop Signs,2,0,No Injury,2,,41.7898,-71.41951
922593,2025-00018955,2025-03-18,1:58:00 PM,Vehicle - Vehicle,,EXIT 22A (RT ),FRANCIS ST,Michael Baldassare,568,2025-03-24,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Angle - Direction Not Specified,No,Traffic Control Signal,4,0,No Injury,2,,41.82577,-71.41527
922569,2025-00018994,2025-03-18,3:53:00 PM,Vehicle - Vehicle,,,,Matthew Marwell,639,2025-03-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,2,0,No Injury,2,2,,
922491,2025-00019058,2025-03-18,7:17:00 PM,Vehicle - Vehicle,,ACADEMY AVE / EATON ST,,Robert Gaudiana,579,2025-03-18,"Two-Way , Not Divided",Dry,Dawn,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,2,0,No Injury,2,,,
922681,2025-00021224,2025-03-18,4:30:00 PM,Vehicle - Vehicle,,SMITH ST,PARK ST,Jason Clancy,999,2025-03-27,"Two-Way , Not Divided",Dry,Dusk,Clear,Rear - to - Side,No,Unknown,3,0,Unknown,2,,41.83189,-71.41687
922682,2025-00021085,2025-03-18,6:00:00 AM,Vehicle - Parked Vehicle,,UNION AVE,,Jason Clancy,999,2025-03-27,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,,
922634,2025-00018740,2025-03-17,4:00:00 PM,Vehicle - Vehicle,,700 Plainfield st,Duxbury,Conor Fleurant,171,2025-03-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,2,0,No Injury,2,2,,
922583,2025-00019816,2025-03-17,,Vehicle - Parked Vehicle,,361 CHARLES ST,,Quincy Griffin,970,2025-03-24,Unknown,Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,3,0,Unknown,2,,,
922473,2025-00018746,2025-03-17,4:29:00 PM,Vehicle - Vehicle,,CHAPIN AVE,PARADE ST,Jeffrey Gagnon,317,2025-03-20,"Two-Way , Not Divided",Wet,Daylight,Rain,Rear End(Front-to-Rear),No,Stop Signs,2,1,Complains Of Pain,2,,41.81189,-71.43117
922418,2025-00018969,2025-03-17,2:30:00 PM,Vehicle - Pedestrian,Scooter,ATWELLS AVE,FALLS PL,Jason Clancy,999,2025-03-19,"Two-Way , Not Divided",Wet,Daylight,Cloudy,Unknown,No,Unknown,1,0,Unknown,1,,41.82352,-71.42581
922422,2025-00019030,2025-03-17,7:04:00 PM,Vehicle - Parked Vehicle,,WEYBOSSET ST,ABBOTT PARK PL,Jason Clancy,999,2025-03-19,Unknown,Wet,Dark - Unknown Lighting,Clear,Rear - to - Side,No,Unknown,2,0,Unknown,2,,41.82049,-71.41365
922423,2025-00018645,2025-03-17,8:50:00 AM,Vehicle - Vehicle,,1000 Elmwood Ave,Linden Ave,Luis Quinilla,572,2025-03-19,"Two-Way , Not Divided",Wet,Daylight,Rain,Rear End(Front-to-Rear),No,Traffic Control Signal,3,0,No Injury,2,2,,
922400,2025-00018773,2025-03-17,5:17:00 PM,Vehicle - Parked Vehicle,,325 VALLEY ST,,Jason Clancy,999,2025-03-18,Unknown,Dry,Daylight,Clear,Other,No,Unknown,2,0,Unknown,2,,,
922433,2025-00018734,2025-03-17,3:46:00 PM,Vehicle - Vehicle,,22 ATLANTIC AVE,NIAGARA ST,Johansell Montilla,627,2025-03-19,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.79915,-71.41695
922402,2025-00018946,2025-03-17,4:33:00 AM,Vehicle - Vehicle,,DOUGLAS AVE,CHALKSTONE AVE,Jason Clancy,999,2025-03-18,"Two-Way , Not Divided",Wet,Dark - Unknown Lighting,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,41.83632,-71.42028
922394,2025-00018790,2025-03-17,3:30:00 PM,Vehicle - Vehicle,,BRANCH AVE,BRANCH AVE,Jason Clancy,999,2025-03-18,"Two-Way , Not Divided",Wet,Daylight,Cloudy,Rear End(Front-to-Rear),No,Unknown,3,0,Unknown,2,,,
922395,2025-00018769,2025-03-17,4:00:00 PM,Vehicle - Pedestrian,Pedestrian,ELMGROVE AVE,SESSIONS ST,Jason Clancy,999,2025-03-18,"Two-Way , Not Divided",Wet,Daylight,Clear,Other,"Yes, M/V and Driver Left Scene",Unknown,2,1,Complains Of Pain,1,,41.84128,-71.39259
922355,2025-00018671,2025-03-17,10:49:00 AM,Vehicle - Pedestrian,Pedestrian,MEETING ST,THAYER ST,Ptlm. Castagliuolo,351,2025-03-17,One-Way Trafficway,Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,1,,41.82915,-71.40105
922356,2025-00018641,2025-03-17,8:19:00 AM,Vehicle - Parked Vehicle,,51 MALVERN ST,NORTHUP AVE,Luis Garcia Colon,128,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.8526,-71.41608
922363,2025-00018643,2025-03-17,8:47:00 AM,Vehicle - Parked Vehicle,,florence street,KOSSUTH ST,Eder Delgado,580,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.82112,-71.446
922364,2025-00018636,2025-03-17,7:52:00 AM,Vehicle - Vehicle,,DOYLE AVE,HOPE ST,Igor Barbosa,114,2025-03-17,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,3,0,No Injury,2,,41.83877,-71.40012
922370,2025-00018657,2025-03-17,8:38:00 AM,Vehicle - Parked Vehicle,,WESTMINSTER,,Jason Clancy,999,2025-03-17,Unknown,Wet,Daylight,Rain,Angle (Front - to - Side) Same Direction,No,Unknown,2,0,Unknown,2,,,
922371,2025-00018707,2025-03-17,1:38:00 PM,Vehicle - Vehicle,,UNION AVE,WHITEHALL ST,Ptlm. Castagliuolo,351,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,"Sidwswipe, Opposite Direction",No,Stop Signs,2,1,Complains Of Pain,2,,41.80778,-71.4439
922390,2025-00018882,2025-03-17,11:10:00 PM,Vehicle - Vehicle,,PINE ST,RICHMOND ST,Ralph Abenante,511,2025-03-18,One-Way Trafficway,Dry,Dark - Lighted,Cloudy,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,,41.82021,-71.41219
922334,2025-00018586,2025-03-17,12:28:00 AM,Vehicle - Vehicle,,CASS ST,OCONNOR ST,Thomas O'Mara,650,2025-03-17,One-Way Trafficway,Wet,Dark - Lighted,Rain,Head-On (Front - to - Front),No,Other,3,0,No Injury,2,,41.79418,-71.40625
922345,2025-00018639,2025-03-17,8:13:00 AM,Vehicle - Vehicle,,Waterman Street,Benefit Street,Martin Hames,536,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,2,0,No Injury,2,,,
922377,2025-00018724,2025-03-17,3:04:00 PM,Vehicle - Parked Vehicle,,HERSCHEL ST,BEL AIR DR,Jessenia Montano,149,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.83642,-71.47066
922382,2025-00018741,2025-03-17,4:17:00 PM,Vehicle - Vehicle,,BLACKSTONE ST,EDDY ST,Tyler Calandra,418,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,3,1,Complains Of Pain,2,,41.81012,-71.40725
922383,2025-00018738,2025-03-17,4:00:00 PM,Vehicle - Vehicle,,ADMIRAL ST,ADMIRAL ST EXIT,Jared Guiot,608,2025-03-17,"Two-Way, Divided, Positive Median Barrier",Wet,Daylight,Rain,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.84064,-71.41888
922384,2025-00018785,2025-03-17,7:04:00 PM,Vehicle - Vehicle,,SMITHFIELD AVE,COLLYER ST,Michael Gammino,491,2025-03-17,"Two-Way, Divided, Positive Median Barrier",Wet,Dark - Lighted,Rain,Rear End(Front-to-Rear),No,Traffic Control Signal,3,2,Complains Of Pain,2,,41.85437,-71.40379
