row_number	crash_date	crash_report_id	crash_time	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
466	2025-11-04	929756	14:50:00	Bicycle	ACADEMY AVE	SMITH ST	2025-11-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	0	No Injury	NA	41.84258	-71.44515	NA	1	TRUE	FALSE	1	FALSE	FALSE	Academy Ave and Smith Street, Providence, RI, USA	FALSE	-71.4451576	41.842608	intersection	geometric_center	academy ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.842608	-71.4451576	3.180030885353147
468	2025-11-06	929811	09:27:00	Pedestrian	DOYLE AVE	N MAIN ST	2025-11-06	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Complains Of Pain	NA	41.83835	-71.40908	1	NA	FALSE	FALSE	1	FALSE	FALSE	Doyle Ave and N Main Street, Providence, RI, USA	FALSE	-71.4092347	41.8383506	intersection	geometric_center	n main st & doyle ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8383506	-71.4092347	12.830423551601472
469	2025-11-06	929832	21:34:00	Pedestrian	Whitehall st	PROGRESS AVE	2025-11-06	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.80973	-71.44483	1	NA	FALSE	FALSE	1	FALSE	FALSE	Whitehall Street and Progress Ave, Providence, RI, USA	FALSE	-71.4448022	41.8097066	intersection	geometric_center	progress ave & whitehall st, providence, ri 02909, usa	NA	NA	NA	NA	41.8097066	-71.4448022	3.479377104098981
470	2025-11-06	929847	15:48:00	Pedestrian	PALLAS ST	BROADWAY	2025-11-07	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	1	Complains Of Pain	NA	41.82101	-71.42415	1	NA	TRUE	FALSE	1	FALSE	FALSE	Pallas Street and Broadway, Providence, RI, USA	FALSE	-71.4242046	41.8210427	intersection	geometric_center	pallas st & broadway, providence, ri 02903, usa	NA	NA	NA	NA	41.8210427	-71.4242046	5.810979899791638
472	2025-11-09	929873	10:24:00	Bicycle	CURTIS ST	SHERIDAN ST	2025-11-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	0	No Injury	NA	41.82313	-71.4518	NA	1	FALSE	FALSE	1	FALSE	FALSE	Curtis Street and Sheridan Street, Providence, RI, USA	FALSE	-71.45191799999999	41.8232661	intersection	geometric_center	sheridan st & curtis st, providence, ri 02909, usa	NA	NA	NA	NA	41.8232661	-71.45191799999999	18.037761131341025
473	2025-11-09	932838	11:54:00	Bicycle	BELLEVUE AVE	DEXTER ST	2026-01-17	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Stop Signs	2	1	Complains Of Pain	NA	41.80744	-71.42869	NA	1	FALSE	FALSE	1	FALSE	FALSE	Bellevue Ave and Dexter Street, Providence, RI, USA	FALSE	-71.4286841	41.8074588	intersection	geometric_center	dexter st & bellevue ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8074588	-71.4286841	2.1493041328558253
475	2025-11-10	929896	11:59:00	Pedestrian	POINT ST	RICHMOND ST	2025-11-10	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Non-Incapacitating	NA	41.81657	-71.40724	1	NA	FALSE	FALSE	1	FALSE	FALSE	Point Street and Richmond Street, Providence, RI, USA	FALSE	-71.4072529	41.8165662	intersection	geometric_center	point st & richmond st, providence, ri 02903, usa	NA	NA	NA	NA	41.8165662	-71.4072529	1.150808547359952
476	2025-11-10	929903	18:21:00	Pedestrian	GEORGE ST	BROWN ST	2025-11-10	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.82535	-71.40276	1	NA	FALSE	FALSE	1	FALSE	FALSE	George Street and Brown Street, Providence, RI, USA	FALSE	-71.40271469999999	41.8253583	intersection	geometric_center	brown st & george st, providence, ri 02906, usa	NA	NA	NA	NA	41.8253583	-71.40271469999999	3.86970100264604
477	2025-11-10	929904	15:09:00	Pedestrian	DOUGLAS AVE	CHAD BROWN ST	2025-11-10	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	0	No Injury	NA	41.83988	-71.42639	1	NA	FALSE	FALSE	1	FALSE	FALSE	Douglas Ave and Chad Brown Street, Providence, RI, USA	FALSE	-71.4258274	41.8392697	intersection	geometric_center	chad brown st & douglas ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8392697	-71.4258274	82.4177211422704
478	2025-11-11	929918	22:35:00	Bicycle	Vermont Ave	VIRGINIA AVE	2025-11-11	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Opposite Direction	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.78876	-71.39591	NA	1	FALSE	FALSE	1	FALSE	FALSE	Vermont Ave and Virginia Ave, Providence, RI, USA	FALSE	-71.3989962	41.7882227	intersection	geometric_center	vermont ave & virginia ave, providence, ri 02905, usa	NA	NA	NA	NA	41.7882227	-71.3989962	263.0476950441572
