row_number	crash_date	crash_report_id	crash_time	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
1	2025-01-02	920089	08:11:00	Pedestrian	TERMINAL ROAD	NEW YORK AVE	2025-01-03	Unknown	Dry	Daylight	Clear	Unknown	Yes, M/V and Driver Left Scene	Unknown	3	0	No Injury	NA	41.79613	-71.39506	1	NA	FALSE	FALSE	1	FALSE	FALSE	Terminal Road and New York Ave, Providence, RI, USA	FALSE	-71.3864663	41.7943605	intersection	geometric_center	new york ave & terminal rd, providence, ri 02905, usa	NA	NA	NA	NA	41.7943605	-71.3864663	739.9116433016932
2	2025-01-02	920108	23:14:00	Pedestrian	325 washington st	NA	2025-01-04	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	NA	NA	1	NA	FALSE	FALSE	1	TRUE	TRUE	325 Washington Street, Providence, RI, USA	FALSE	-71.4203833	41.81973139999999	premise	rooftop	325 washington st, providence, ri 02903, usa	NA	NA	NA	NA	41.81973139999999	-71.4203833	NA
3	2025-01-05	920134	18:25:00	Pedestrian	FOUNTAIN ST	FRANCIS ST	2025-01-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	2	2	Complains Of Pain	NA	41.82491	-71.41471	2	NA	FALSE	FALSE	1	FALSE	FALSE	Fountain Street and Francis Street, Providence, RI, USA	FALSE	-71.41482549999999	41.8250129	intersection	geometric_center	fountain st & francis st, providence, ri 02902, usa	NA	NA	NA	NA	41.8250129	-71.41482549999999	14.933529747357596
4	2025-01-05	920169	17:15:00	Bicycle	PLAINFIELD ST	RALPH ST	2025-01-07	Unknown	Dry	Dark - Unknown Lighting	Clear	Sidwswipe, Opposite Direction	No	Unknown	3	0	Unknown	NA	41.81345	-71.45352	NA	1	FALSE	FALSE	1	FALSE	FALSE	Plainfield Street and Ralph Street, Providence, RI, USA	FALSE	-71.45351819999999	41.8134733	intersection	geometric_center	ralph st & plainfield st, providence, ri 02909, usa	NA	NA	NA	NA	41.8134733	-71.45351819999999	2.59804004944232
5	2025-01-07	920181	16:04:00	Pedestrian	WICKENDEN ST	BROOK ST	2025-01-07	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.81948	-71.39826	1	NA	FALSE	FALSE	1	FALSE	FALSE	Wickenden Street and Brook Street, Providence, RI, USA	FALSE	-71.398258	41.8194891	intersection	geometric_center	wickenden st & brook st, providence, ri 02903, usa	NA	NA	NA	NA	41.8194891	-71.398258	1.026505666133773
8	2025-01-08	920198	16:56:00	Bicycle	CANAL ST	MILL ST	2025-01-08	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Complains Of Pain	NA	41.8323	-71.41095	NA	1	FALSE	FALSE	1	FALSE	FALSE	Canal Street and Mill Street, Providence, RI, USA	FALSE	-71.41115359999999	41.8329768	intersection	geometric_center	canal st & mill st, providence, ri 02904, usa	NA	NA	NA	NA	41.8329768	-71.41115359999999	77.21044855036337
9	2025-01-08	920213	11:51:00	Pedestrian	WESTMINSTER ST	EMPIRE ST	2025-01-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Incapacitating	NA	41.82097	-71.41532	1	NA	FALSE	FALSE	1	FALSE	FALSE	Westminster Street and Empire Street, Providence, RI, USA	FALSE	-71.41527219999999	41.8210122	intersection	geometric_center	empire st & westminster st, providence, ri 02903, usa	NA	NA	NA	NA	41.8210122	-71.41527219999999	6.14759046892192
10	2025-01-08	920223	11:30:00	Pedestrian	EMPIRE ST	NA	2025-01-09	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Unknown	No	Unknown	3	0	Unknown	NA	NA	NA	1	NA	FALSE	FALSE	1	FALSE	TRUE	Empire Street, Providence, RI, USA	FALSE	-71.4157481	41.8213721	route	geometric_center	empire st, providence, ri 02903, usa	NA	NA	NA	NA	41.8213721	-71.4157481	NA
11	2025-01-10	920278	16:38:00	Pedestrian	GREENWICH ST	BUCKLIN ST	2025-01-10	Two-Way , Not Divided	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	3	1	Complains Of Pain	NA	41.80237	-71.4261	1	NA	FALSE	FALSE	1	FALSE	FALSE	Greenwich Street and Bucklin Street, Providence, RI, USA	FALSE	-71.4276629	41.8023394	intersection	geometric_center	bucklin st & greenwich st, providence, ri 02907, usa	NA	NA	NA	NA	41.8023394	-71.4276629	129.7387930743196
12	2025-01-12	920320	11:56:00	Pedestrian	HEATH ST	HARTFORD AVE	2025-01-12	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	4	2	Complains Of Pain	NA	41.81719	-71.44991	2	NA	FALSE	FALSE	1	FALSE	FALSE	Heath Street and Hartford Ave, Providence, RI, USA	FALSE	-71.44988169999999	41.8172824	intersection	geometric_center	heath st & hartford ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8172824	-71.44988169999999	10.550482166005299
14	2025-01-12	920331	09:10:00	Pedestrian	Allens Ave	ALLENS AVE	2025-01-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.79296	-71.3973	1	NA	FALSE	FALSE	1	FALSE	FALSE	Allens Ave and Allens Ave, Providence, RI, USA	FALSE	-71.4014015	41.8030598	route	geometric_center	allens ave, providence, ri, usa	NA	NA	NA	NA	41.8030598	-71.4014015	1174.6990190286947
15	2025-01-14	920371	08:39:00	Pedestrian	SMITHFIELD AVE	SMITHFIELD AVE	2025-01-14	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Non-Incapacitating	NA	41.85501	-71.40489	1	NA	FALSE	FALSE	1	FALSE	FALSE	Smithfield Ave and Smithfield Ave, Providence, RI, USA	FALSE	-71.4147465	41.8757169	route	geometric_center	smithfield ave, rhode island, usa	Smithfield Ave & Smithfield Road, North Providence, Providence, RI, USA	EkdTbWl0aGZpZWxkIEF2ZSAmIFNtaXRoZmllbGQgUm9hZCwgTm9ydGggUHJvdmlkZW5jZSwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCd222pRHROSJEQV0u74fEaQyEhQKEgndttqUR0TkiREFdLu-HxGkMhoUChIJVzuovUdE5IkRIDGFZ-Hnd7EaFAoSCcMsnEA8ROSJETpRC9SL6qaAIgoNLMjyGBX4OWnV	41.856414	-71.4524168	41.856414	-71.4524168	3943.7268110772598
16	2025-01-14	920421	18:27:00	Pedestrian	BROADWAY	SERVICE ROAD 7	2025-01-14	One-Way Trafficway	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.82178	-71.4208	1	NA	FALSE	FALSE	1	FALSE	FALSE	Broadway and Service Road 7, Providence, RI, USA	FALSE	-71.4208372	41.8218293	intersection	geometric_center	service rd 1 & broadway, providence, ri 02903, usa	NA	NA	NA	NA	41.8218293	-71.4208372	6.296211312906088
17	2025-01-15	920438	09:00:00	Pedestrian	ACADEMY AVE	SMITH ST	2025-01-15	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.84258	-71.44515	1	NA	FALSE	FALSE	1	FALSE	FALSE	Academy Ave and Smith Street, Providence, RI, USA	FALSE	-71.4451576	41.842608	intersection	geometric_center	academy ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.842608	-71.4451576	3.180030885353147
18	2025-01-15	920460	16:00:00	Pedestrian	RANDALL ST	N MAIN ST	2025-01-15	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Yield Signs	1	1	Complains Of Pain	NA	41.83766	-71.4097	1	NA	FALSE	FALSE	1	FALSE	FALSE	Randall Street and N Main Street, Providence, RI, USA	FALSE	-71.4096278	41.8379729	intersection	geometric_center	randall st & n main st, providence, ri 02904, usa	NA	NA	NA	NA	41.8379729	-71.4096278	35.34283308304517
19	2025-01-15	920668	11:15:00	Pedestrian	ANGELL ST	BROOK ST	2025-01-21	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82821	-71.39947	1	NA	FALSE	FALSE	1	FALSE	FALSE	Angell Street and Brook Street, Providence, RI, USA	FALSE	-71.3994652	41.82822789999999	intersection	geometric_center	brook st & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.82822789999999	-71.3994652	2.032008690257442
20	2025-01-17	920670	07:20:00	Bicycle	SMITH ST	ACADEMY AVE	2025-01-21	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	Yes, M/V and Driver Left Scene	No Controls	1	0	Unknown	NA	41.84271	-71.44545	NA	1	FALSE	FALSE	1	FALSE	FALSE	Smith Street and Academy Ave, Providence, RI, USA	FALSE	-71.4451576	41.842608	intersection	geometric_center	academy ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.842608	-71.4451576	26.77570166142105
21	2025-01-18	920594	17:43:00	Pedestrian	10 MEMORIAL BLVD	FRANCIS ST	2025-01-18	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Lighted	Rain	Other	No	No Controls	2	1	Complains Of Pain	NA	41.82618	-71.41443	1	NA	FALSE	FALSE	1	TRUE	FALSE	10 Memorial Blvd, Providence, RI, USA	FALSE	-71.4149557	41.8266068	premise	rooftop	10 memorial blvd, providence, ri 02903, usa	NA	NA	NA	NA	41.8266068	-71.4149557	64.48990600402927
22	2025-01-18	920597	21:05:00	Bicycle	EXIT 22A (RT )	FRANCIS ST	2025-01-18	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	2	Complains Of Pain	NA	41.82577	-71.41527	NA	1	TRUE	FALSE	1	FALSE	FALSE	Exit 22a (Rt ) and Francis Street, Providence, RI, USA	FALSE	-71.4152951	41.8283071	route	geometric_center	francis st, providence, ri, usa	NA	NA	NA	NA	41.8283071	-71.4152951	282.4363545169425
23	2025-01-19	920616	14:57:00	Bicycle	POTTERS AVE	BROAD ST	2025-01-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	5	1	Complains Of Pain	NA	41.80297	-71.41891	NA	1	TRUE	FALSE	1	FALSE	FALSE	Potters Ave and Broad Street, Providence, RI, USA	FALSE	-71.4188999	41.80300099999999	intersection	geometric_center	potters ave & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.80300099999999	-71.4188999	3.5512229466517944
24	2025-01-22	920731	16:07:00	Pedestrian	BROAD ST	EARLY ST	2025-01-22	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	2	Non-Incapacitating	NA	41.79536	-71.41114	3	NA	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Early Street, Providence, RI, USA	FALSE	-71.4112647	41.795491	intersection	geometric_center	early st & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.795491	-71.4112647	17.881928201068487
25	2025-01-23	920756	15:06:00	Pedestrian	BRANCH AVE EXIT	BRANCH AVE	2025-01-23	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Sideswipe, Same Direction	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8464	-71.41175	1	NA	FALSE	FALSE	1	FALSE	FALSE	Branch Ave Exit and Branch Ave, Providence, RI, USA	FALSE	-71.4222562	41.8512794	route	geometric_center	branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8512794	-71.4222562	1026.6598681881044
26	2025-01-24	920790	14:40:00	Bicycle	DEXTER ST	WESTMINSTER ST	2025-01-24	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	2	1	Complains Of Pain	NA	41.81652	-71.43131	NA	1	FALSE	FALSE	1	FALSE	FALSE	Dexter Street and Westminster Street, Providence, RI, USA	FALSE	-71.4313664	41.816619	intersection	geometric_center	dexter st & westminster st, providence, ri 02909, usa	NA	NA	NA	NA	41.816619	-71.4313664	11.972852365835612
28	2025-01-26	920839	11:36:00	Pedestrian	1 PROVIDENCE PLACE	FRANCIS ST	2025-01-26	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	0	No Injury	NA	NA	NA	1	NA	FALSE	FALSE	1	TRUE	FALSE	1 Providence Place, Providence, RI, USA	FALSE	-71.4162068	41.8278238	premise	rooftop	1 providence pl, providence, ri 02903, usa	NA	NA	NA	NA	41.8278238	-71.4162068	NA
30	2025-01-27	920872	15:36:00	Bicycle	WESTMINSTER ST	BRIDGHAM ST	2025-01-27	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Traffic Control Signal	3	0	No Injury	NA	41.8169	-71.42851	NA	1	FALSE	FALSE	1	FALSE	FALSE	Westminster Street and Bridgham Street, Providence, RI, USA	FALSE	-71.4284152	41.8169563	intersection	geometric_center	bridgham st & westminster st, providence, ri 02909, usa	NA	NA	NA	NA	41.8169563	-71.4284152	10.05669120930498
31	2025-01-27	920877	15:10:00	Pedestrian	RANDALL ST	N MAIN ST	2025-01-27	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.83834	-71.40953	1	NA	FALSE	FALSE	1	FALSE	FALSE	Randall Street and N Main Street, Providence, RI, USA	FALSE	-71.4096278	41.8379729	intersection	geometric_center	randall st & n main st, providence, ri 02904, usa	NA	NA	NA	NA	41.8379729	-71.4096278	41.662587756101
32	2025-01-28	920884	08:39:00	Bicycle	college st	MEMORIAL BLVD	2025-01-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	1	Complains Of Pain	1	41.82545	-71.40839	NA	1	FALSE	FALSE	1	FALSE	FALSE	College Street and Memorial Blvd, Providence, RI, USA	FALSE	-71.40878529999999	41.8253031	intersection	geometric_center	memorial blvd & college st, providence, ri 02903, usa	NA	NA	NA	NA	41.8253031	-71.40878529999999	36.64272717861833
33	2025-01-28	920901	15:31:00	Pedestrian	Lubec St	MANILA ST	2025-01-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.85439	-71.44544	1	NA	FALSE	FALSE	1	FALSE	FALSE	Lubec Street and Manila Street, Providence, RI, USA	FALSE	-71.44556519999999	41.8543842	intersection	geometric_center	manila st & lubec st, providence, ri 02904, usa	NA	NA	NA	NA	41.8543842	-71.44556519999999	10.401084581868435
34	2025-01-29	920931	13:15:00	Pedestrian	Washington St	Mathewson St	2025-01-29	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	2	NA	NA	1	NA	FALSE	FALSE	1	FALSE	FALSE	Washington Street and Mathewson Street, Providence, RI, USA	FALSE	-71.4147776	41.823059	intersection	geometric_center	mathewson st & washington st, providence, ri 02903, usa	NA	NA	NA	NA	41.823059	-71.4147776	NA
38	2025-02-03	921123	13:50:00	Pedestrian	S WATER ST	PLANET ST	2025-02-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	1	1	Complains Of Pain	NA	41.82283	-71.40647	1	NA	FALSE	FALSE	1	FALSE	FALSE	S Water Street and Planet Street, Providence, RI, USA	FALSE	-71.40644309999999	41.8228364	intersection	geometric_center	s water st & planet st, providence, ri 02903, usa	NA	NA	NA	NA	41.8228364	-71.40644309999999	2.342497588226365
39	2025-02-04	921109	12:55:00	Pedestrian	UNION AVE	POCASSET AVE	2025-02-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.80639	-71.45714	1	NA	FALSE	FALSE	1	FALSE	FALSE	Union Ave and Pocasset Ave, Providence, RI, USA	FALSE	-71.4571188	41.8064042	intersection	geometric_center	pocasset ave & union ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8064042	-71.4571188	2.3650072222569833
42	2025-02-05	921137	07:53:00	Pedestrian	HARTFORD AVE	LAUREL HILL AVE	2025-02-05	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.81795	-71.45532	1	NA	FALSE	FALSE	1	FALSE	FALSE	Hartford Ave and Laurel Hill Ave, Providence, RI, USA	FALSE	-71.4553147	41.8179563	intersection	geometric_center	laurel hill ave & hartford ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8179563	-71.4553147	0.827754800669352
43	2025-02-06	921177	21:20:00	Pedestrian	BROAD ST	LAURA ST	2025-02-06	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.80232	-71.41871	1	NA	TRUE	FALSE	1	FALSE	FALSE	Broad Street and Laura Street, Providence, RI, USA	FALSE	-71.4186884	41.8023354	intersection	geometric_center	laura st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8023354	-71.4186884	2.4802637974200223
44	2025-02-07	921191	12:21:00	Pedestrian	CHARLES ST	SOCIAL ST	2025-02-07	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Fatal	NA	41.85378	-71.42052	1	NA	FALSE	FALSE	1	FALSE	FALSE	Charles Street and Social Street, Providence, RI, USA	FALSE	-71.4205514	41.8539865	intersection	geometric_center	charles st & social st, providence, ri 02904, usa	NA	NA	NA	NA	41.8539865	-71.4205514	23.134445501415488
45	2025-02-09	921229	00:30:00	Pedestrian	AMES ST	ATWELLS AVE	2025-02-09	Two-Way , Not Divided	Snow	Dark - Lighted	Snow	Angle - Direction Not Specified	No	No Controls	4	1	Complains Of Pain	NA	41.82418	-71.43098	1	NA	FALSE	FALSE	2	FALSE	FALSE	Ames Street and Atwells Ave, Providence, RI, USA	FALSE	-71.43097639999999	41.8239056	intersection	geometric_center	atwells ave & ames st, providence, ri 02909, usa	NA	NA	NA	NA	41.8239056	-71.43097639999999	30.547528072592108
46	2025-02-12	921336	17:53:00	Pedestrian	ADMIRAL ST	CHARLES ST	2025-02-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8407	-71.41747	1	NA	FALSE	FALSE	1	FALSE	FALSE	Admiral Street and Charles Street, Providence, RI, USA	FALSE	-71.4173959	41.8407577	intersection	geometric_center	admiral st & charles st, providence, ri 02904, usa	NA	NA	NA	NA	41.8407577	-71.4173959	8.889433409698087
47	2025-02-13	921350	09:30:00	Pedestrian	DEXTER ST	CRANSTON ST	2025-02-13	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.81241	-71.4295	1	NA	FALSE	FALSE	1	FALSE	FALSE	Dexter Street and Cranston Street, Providence, RI, USA	FALSE	-71.4295953	41.8126211	intersection	geometric_center	cranston st & dexter st, providence, ri 02907, usa	NA	NA	NA	NA	41.8126211	-71.4295953	24.794144198798744
51	2025-02-17	921456	10:57:00	Pedestrian	DUDLEY ST	CULVER ST	2025-02-17	Two-Way , Not Divided	Dry	Daylight	Severe Crosswinds	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Incapacitating	NA	41.81061	-71.40852	1	NA	FALSE	FALSE	1	FALSE	FALSE	Dudley Street and Culver Street, Providence, RI, USA	FALSE	-71.4086571	41.81061649999999	intersection	geometric_center	dudley st & culver st, providence, ri 02903, usa	NA	NA	NA	NA	41.81061649999999	-71.4086571	11.398486802597253
53	2025-02-17	921467	22:35:00	Pedestrian	BROAD ST	PINE ST	2025-02-17	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81167	-71.42151	1	NA	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Pine Street, Providence, RI, USA	FALSE	-71.42125469999999	41.8107393	intersection	geometric_center	pine st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8107393	-71.42125469999999	105.74833297991628
54	2025-02-20	921521	15:08:00	Pedestrian	BROAD ST	MONTGOMERY AVE	2025-02-20	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.78592	-71.40168	1	NA	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Montgomery Ave, Providence, RI, USA	FALSE	-71.4016731	41.78589909999999	intersection	geometric_center	montgomery ave & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.78589909999999	-71.4016731	2.396034455447166
55	2025-02-24	921634	09:00:00	Bicycle	EARL ST	ELMWOOD AVE	2025-02-25	Unknown	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Unknown	3	0	No Injury	NA	41.79809	-71.42618	NA	1	FALSE	FALSE	1	FALSE	FALSE	Earl Street and Elmwood Ave, Providence, RI, USA	FALSE	-71.42622279999999	41.7981091	intersection	geometric_center	elmwood ave & earl st, providence, ri 02907, usa	NA	NA	NA	NA	41.7981091	-71.42622279999999	4.139658912626138
56	2025-02-25	921641	11:12:00	Bicycle	VANDEWATER STREET	BRANCH AVENUE	2025-02-25	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	0	No Injury	2	NA	NA	NA	1	FALSE	FALSE	1	FALSE	FALSE	Vandewater Street and Branch Avenue, Providence, RI, USA	FALSE	-71.42882759999999	41.8536916	intersection	geometric_center	vandewater st & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8536916	-71.42882759999999	NA
57	2025-02-25	921665	22:54:00	Pedestrian	ABRAM ST	BRANCH AVE	2025-02-26	Two-Way , Not Divided	Wet	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.85387	-71.4308	1	NA	FALSE	FALSE	1	FALSE	FALSE	Abram Street and Branch Ave, Providence, RI, USA	FALSE	-71.4306766	41.8541617	intersection	geometric_center	branch ave & abram st, providence, ri 02904, usa	NA	NA	NA	NA	41.8541617	-71.4306766	34.04577042659053
59	2025-02-26	921771	20:30:00	Bicycle	ANGELL ST	BROWN ST	2025-02-28	One-Way Trafficway	Dry	Dark - Unknown Lighting	Clear	Other	No	Unknown	3	1	Complains Of Pain	NA	41.82786	-71.40319	NA	1	FALSE	FALSE	1	FALSE	FALSE	Angell Street and Brown Street, Providence, RI, USA	FALSE	-71.40315989999999	41.8278808	intersection	geometric_center	brown st & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.8278808	-71.40315989999999	3.405181153238977
60	2025-02-27	921709	08:07:00	Pedestrian	CHAPIN AVE	PARADE ST	2025-02-27	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Cloudy	Head-On (Front - to - Front)	No	No Controls	4	1	Complains Of Pain	NA	41.81189	-71.43122	1	NA	FALSE	FALSE	1	FALSE	FALSE	Chapin Ave and Parade Street, Providence, RI, USA	FALSE	-71.4311693	41.8119172	intersection	geometric_center	chapin ave & parade st, providence, ri 02909, usa	NA	NA	NA	NA	41.8119172	-71.4311693	5.183018237383039
61	2025-02-27	921716	12:34:00	Bicycle	WASHINGTON ST	EDDY ST	2025-02-27	Two-Way , Not Divided	Wet	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.82401	-71.4134	NA	1	FALSE	FALSE	1	FALSE	FALSE	Washington Street and Eddy Street, Providence, RI, USA	FALSE	-71.4134213	41.8240306	intersection	geometric_center	eddy st & washington st, providence, ri 02903, usa	NA	NA	NA	NA	41.8240306	-71.4134213	2.894953506623813
62	2025-02-27	921739	16:27:00	Pedestrian	Diamond St	HOLLIS ST	2025-02-27	Two-Way , Not Divided	Wet	Daylight	Rain	Other	No	No Controls	3	1	Complains Of Pain	NA	41.81044	-71.42959	1	NA	FALSE	FALSE	1	FALSE	FALSE	Diamond Street and Hollis Street, Providence, RI, USA	FALSE	-71.4296461	41.81059279999999	intersection	geometric_center	hollis st & diamond st, providence, ri 02907, usa	NA	NA	NA	NA	41.81059279999999	-71.4296461	17.63501680999409
64	2025-02-28	921792	21:13:00	Pedestrian	MONTICELLO ST	OPPER ST	2025-02-28	Two-Way , Not Divided	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.85227	-71.42309	1	NA	FALSE	FALSE	1	FALSE	FALSE	Monticello Street and Opper Street, Providence, RI, USA	FALSE	-71.4230103	41.8522469	intersection	geometric_center	monticello st & opper st, providence, ri 02904, usa	NA	NA	NA	NA	41.8522469	-71.4230103	7.091258854750455
65	2025-03-01	921807	13:05:00	Bicycle	BROAD ST	SUMTER ST	2025-03-01	Two-Way , Not Divided	Wet	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	0	No Injury	NA	41.79769	-71.41405	NA	1	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Sumter Street, Providence, RI, USA	FALSE	-71.4141256	41.7977795	intersection	geometric_center	sumter st & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.7977795	-71.4141256	11.77394900260877
66	2025-03-02	921932	19:40:00	Pedestrian	ARMINGTON AVE	ACADEMY AVE	2025-03-05	Two-Way , Not Divided	Dry	Dark - Unknown Lighting	Clear	Other	No	Unknown	3	0	No Injury	NA	41.82725	-71.44371	1	NA	FALSE	FALSE	1	FALSE	FALSE	Armington Ave and Academy Ave, Providence, RI, USA	FALSE	-71.4437269	41.8272558	intersection	geometric_center	academy ave & armington ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8272558	-71.4437269	1.5434049337745177
