row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	api_coord_conf	distance_btwn_coords_meters	best_coordinate_set	correct_coordinates	corrected_lat	corrected_lon	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon
3383	2011-07-11	80760	21:15:00	Pedestrian	1	NA	FALSE	FALSE	1	280 Broad St.	NA	7/11/11	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82503	-71.4148	TRUE	TRUE	280 Broad St., Providence, RI, USA	FALSE	-71.4202425	41.8149485	premise	rooftop	280 broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8149485	-71.4202425	High	1209.688347	Geocoded	NA	NA	NA	TRUE	FALSE	Geocoded	NA	NA
3380	2011-07-15	81271	1:09:00	Pedestrian	2	NA	FALSE	FALSE	1	ABBOTT PARK PL	WEYBOSSET ST	7/15/11	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	8	2	Incapacitating	NA	41.82061	-71.4134	FALSE	FALSE	Abbott Park Pl and Weybosset Street, Providence, RI, USA	FALSE	-71.4136706	41.8204998	intersection	geometric_center	weybosset st & abbott park pl, providence, ri 02903, usa	NA	NA	NA	NA	41.8204998	-71.4136706	Med High	25.58199259	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82061	-71.4134
3381	2011-07-15	82867	18:11:00	Bicycle	NA	1	FALSE	FALSE	1	BANCROFT ST	KELLEY ST	7/16/11	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	0	No Injury	NA	41.81294	-71.44793	FALSE	FALSE	Bancroft Street and Kelley Street, Providence, RI, USA	FALSE	-71.4480739	41.8130759	intersection	geometric_center	bancroft st & kelly st, providence, ri 02909, usa	NA	NA	NA	NA	41.8130759	-71.4480739	Med High	19.27205267	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81294	-71.44793
3379	2011-07-19	83335	13:37:00	Bicycle	NA	1	FALSE	FALSE	1	PUBLIC ST	BROAD ST	7/21/11	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	0	No Injury	NA	41.80441	-71.41937	FALSE	FALSE	Public Street and Broad Street, Providence, RI, USA	FALSE	-71.4193596	41.804449	intersection	geometric_center	public st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.804449	-71.4193596	Med High	4.426402177	NA	NA	NA	NA	FALSE	FALSE	Raw	41.80441	-71.41937
3378	2011-07-20	82162	11:51:00	Bicycle	NA	1	FALSE	FALSE	1	549 RIVER AVE	EATON ST	7/21/11	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Traffic Control Signal	2	1	Non-Incapacitating	NA	41.84304	-71.44051	TRUE	FALSE	549 River Ave, Providence, RI, USA	FALSE	-71.440636	41.8433025	street_address	rooftop	549 river ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8433025	-71.440636	High	31.03343067	NA	NA	NA	NA	FALSE	FALSE	Raw	41.84304	-71.44051
3376	2011-07-21	82157	9:59:00	Bicycle	NA	1	FALSE	FALSE	2	ANGELL ST	HOPE ST	7/21/11	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8284	-71.39751	FALSE	FALSE	Angell Street and Hope Street, Providence, RI, USA	FALSE	-71.3974982	41.8284083	intersection	geometric_center	hope st & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.8284083	-71.3974982	Med High	1.346008085	NA	NA	NA	NA	FALSE	FALSE	Raw	41.8284	-71.39751
3377	2011-07-21	82187	12:21:00	Bicycle	NA	1	FALSE	FALSE	1	CHALKSTONE AVE	GARFIELD AVE	7/21/11	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	4	1	Incapacitating	2	41.83382	-71.43245	FALSE	FALSE	Chalkstone Ave and Garfield Ave, Providence, RI, USA	FALSE	-71.4324252	41.833837	intersection	geometric_center	garfield ave & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.833837	-71.4324252	Med High	2.795068232	NA	NA	NA	NA	FALSE	FALSE	Raw	41.83382	-71.43245
3375	2011-07-23	82508	22:21:00	Bicycle	NA	1	FALSE	FALSE	1	STATE STREET	EXIT 23	7/23/11	One-Way Trafficway	Dry	Daylight	Clear	Angle (Front - to - Side) Opposite Direction	No	No Controls	2	1	Complains Of Pain	NA	41.83478	-71.41433	FALSE	FALSE	State Street and Exit 23, Providence, RI, USA	FALSE	-71.4128343	41.8239891	locality	approximate	providence, ri, usa	NA	NA	NA	NA	41.8239891	-71.4128343	Med	1207.627301	Raw	NA	NA	NA	TRUE	FALSE	Raw	41.83478	-71.41433
3374	2011-07-24	82622	13:20:00	Pedestrian	1	NA	FALSE	FALSE	1	BRADFORD ST	ATWELLS AVE	7/24/11	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Complains Of Pain	NA	41.82323	-71.42178	FALSE	FALSE	Bradford Street and Atwells Ave, Providence, RI, USA	FALSE	-71.4217897	41.8232404	intersection	geometric_center	atwells ave & bradford st, providence, ri 02903, usa	NA	NA	NA	NA	41.8232404	-71.4217897	Med High	1.40990051	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82323	-71.42178
3373	2011-07-25	86808	15:50:00	Bicycle	NA	1	FALSE	FALSE	1	MANTON AVE	FAIRFIELD AVE	7/25/11	Two-Way , Not Divided	Dry	Daylight	Cloudy	Angle (Front - to - Side) Opposite Direction	No	No Controls	3	1	Complains Of Pain	NA	41.82568	-71.45655	FALSE	FALSE	Manton Ave and Fairfield Ave, Providence, RI, USA	FALSE	-71.4564451	41.8256702	intersection	geometric_center	fairfield ave & manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8256702	-71.4564451	Med High	8.76986157	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82568	-71.45655
