row_number,crash_report_id,best_coordinate_set,id_inaccurate_coords
880,799790,Not yet determined,
882,799573,Not yet determined,
891,798522,Not yet determined,
906,797387,Not yet determined,
908,797245,Not yet determined,
919,796617,Not yet determined,
920,795544,Not yet determined,
925,795002,Not yet determined,
928,794476,Not yet determined,
936,793135,Not yet determined,
937,792659,Not yet determined,
940,792184,Not yet determined,
943,791597,Not yet determined,
949,790916,Not yet determined,
951,790756,Not yet determined,
962,789511,Not yet determined,
967,788891,Not yet determined,
990,785687,Not yet determined,
997,784816,Not yet determined,
1001,783971,Raw,geocoded set is wrong
1003,783947,Not yet determined,
1010,783053,Not yet determined,
1025,778867,Raw,geocoded set is wrong
1026,778460,Not yet determined,
1027,778414,Raw,geocoded set is wrong
1032,777758,Raw,geocoded set is wrong
1061,769159,Not yet determined,
1064,769037,Not yet determined,
1071,768115,Not yet determined,
1080,767003,Not yet determined,
1083,766752,Not yet determined,
1087,765854,Not yet determined,
1088,765576,Not yet determined,
1095,765113,Not yet determined,
1110,762031,Not yet determined,
1111,761879,Not yet determined,
1116,761448,Raw,geocoded set is wrong
1119,761144,Not yet determined,
1123,760439,Raw,geocoded set is wrong
1124,760462,Raw,geocoded set is wrong
1127,760262,Not yet determined,
1141,756883,Not yet determined,
1143,756671,Not yet determined,
1146,756058,Not yet determined,
1160,752842,Not yet determined,
1161,752870,Not yet determined,
1167,752544,Not yet determined,
1176,751985,Not yet determined,
1188,749877,Not yet determined,
1189,749882,Not yet determined,
1194,749512,Not yet determined,
1197,749010,Not yet determined,
1206,748636,Raw,geocoded set is wrong
1211,748576,Not yet determined,
1224,747952,Not yet determined,
1234,747151,Not yet determined,
1236,747674,Not yet determined,
1238,746891,Not yet determined,
1239,746920,Not yet determined,
1249,745406,Not yet determined,
1263,744924,Raw,geocoded set is wrong
1267,744714,Not yet determined,
1275,744028,Not yet determined,
1279,743342,Not yet determined,
1285,746967,Not yet determined,
1293,739095,Not yet determined,
1297,738846,Not yet determined,
1302,737803,Not yet determined,
1312,737021,Not yet determined,
1314,736288,Not yet determined,
1316,735975,Not yet determined,
1320,733789,Not yet determined,
1325,733161,Not yet determined,
1326,733233,Not yet determined,
1336,732229,Not yet determined,
1341,729290,Not yet determined,
1345,728178,Not yet determined,
1352,726621,Not yet determined,
1353,726550,Not yet determined,
1360,724398,Not yet determined,
1366,717576,Raw,geocoded set is wrong
1367,717770,Raw,geocoded set is wrong
1370,715886,Not yet determined,
1380,706159,Not yet determined,
1389,702124,Raw,geocoded set is wrong
1394,699965,Raw,geocoded set is wrong
1399,704133,Not yet determined,
1400,698978,Raw,geocoded set is wrong
1402,698399,Raw,geocoded set is wrong
1419,687837,Not yet determined,
1428,681016,Raw,geocoded set is wrong
1431,678070,Not yet determined,
1434,675451,Not yet determined,
1442,666520,Not yet determined,
1446,666156,Not yet determined,
1448,665445,Not yet determined,
1449,661527,Not yet determined,
1458,659779,Not yet determined,
1464,656989,Not yet determined,
1466,654095,Not yet determined,
1488,646088,Not yet determined,
1490,643195,Not yet determined,
1494,642847,Not yet determined,
1505,638374,Not yet determined,
1508,634351,Not yet determined,
1509,633885,Not yet determined,
1515,633009,Not yet determined,
1520,631767,Not yet determined,
1521,631403,Not yet determined,
1524,629952,Not yet determined,
1537,625212,Not yet determined,
1542,623878,Not yet determined,
1549,620603,Not yet determined,
1552,620994,Not yet determined,
1554,619243,Not yet determined,
1556,618207,Not yet determined,
1559,617447,Not yet determined,
1565,610375,Not yet determined,
1567,609208,Not yet determined,
1573,604855,Not yet determined,
1588,598305,Not yet determined,
1594,595993,Not yet determined,
1600,592707,Not yet determined,
1601,592765,Raw,geocoded set is wrong
1607,590468,Not yet determined,
1611,589805,Not yet determined,
1613,589045,Not yet determined,
1616,588942,Not yet determined,
1617,588502,Not yet determined,
1627,586115,Not yet determined,
1629,585911,Not yet determined,
1634,583797,Raw,geocoded set is wrong
1635,582589,Not yet determined,
1636,582950,Not yet determined,
1642,578795,Not yet determined,
1649,575796,Not yet determined,
1655,572160,Not yet determined,
1657,571007,Not yet determined,
1663,570185,Not yet determined,
1664,569842,Not yet determined,
1667,568407,Not yet determined,
1682,560537,Raw,geocoded set is wrong
1683,560145,Not yet determined,
1692,557829,Not yet determined,
1705,550717,Not yet determined,
1710,547416,Not yet determined,
1723,538035,Not yet determined,
1731,532510,Not yet determined,
1747,517086,Not yet determined,
1748,517284,Not yet determined,
1753,512799,Not yet determined,
1755,512458,Not yet determined,
1768,496143,Not yet determined,
1770,494137,Not yet determined,
1775,490409,Not yet determined,
1777,489178,Not yet determined,
1781,485385,Not yet determined,
1784,484072,Not yet determined,
1797,480076,Not yet determined,
1799,480190,Not yet determined,
1800,480332,Not yet determined,
1805,477623,Not yet determined,
1806,477339,Not yet determined,
1809,476116,Not yet determined,
1812,472808,Not yet determined,
1813,472173,Raw,geocoded set is wrong
1814,471210,Not yet determined,
1817,469831,Not yet determined,
1831,461798,Not yet determined,
1835,458757,Raw,geocoded set is wrong
1836,458434,Not yet determined,
1837,457812,Not yet determined,
1841,456353,Not yet determined,
1842,456508,Not yet determined,
1843,456617,Raw,geocoded set is wrong
1845,455890,Not yet determined,
1850,455701,Not yet determined,
1855,451810,Not yet determined,
1857,450909,Not yet determined,
1865,450145,Not yet determined,
1874,443932,Not yet determined,
1876,442992,Not yet determined,
1879,442208,Not yet determined,
