row_number	crash_date	crash_report_id	crash_time	type_of_collision	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_vehicles	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
3339	2025-02-16	921435	01:15:00	Vehicle - Pedestrian	Pedestrian	manton ave	DEARBORN ST	2025-02-16	Two-Way , Not Divided	Snow	Dark - Lighted	Snow	Not a Collision Between Two Motor Vehicles in Transport	Yes, Driver Left Scene	No Controls	1	0	Unknown	1	NA	41.82469	-71.45305	FALSE	FALSE	Manton Ave and Dearborn Street, Providence, RI, USA	FALSE	-71.4531336	41.82476339999999	intersection	geometric_center	dearborn st & manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.82476339999999	-71.4531336	10.717106377137425
3383	2025-02-14	921397	14:49:00	Vehicle - Pedestrian	Pedestrian	POCASSET AVE	WHAT CHEER AVE	2025-02-14	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	Yes, M/V and Driver Left Scene	No Controls	3	0	No Injury	2	NA	41.80687	-71.45678	FALSE	FALSE	Pocasset Ave and What Cheer Ave, Providence, RI, USA	FALSE	-71.4567453	41.806952	intersection	geometric_center	pocasset ave & what cheer ave, providence, ri 02909, usa	NA	NA	NA	NA	41.806952	-71.4567453	9.571540852461458
3386	2025-02-14	921392	15:14:00	Vehicle - Pedestrian	Pedestrian	YALE AVE	LEAH ST	2025-02-14	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	No	No Controls	8	0	No Injury	2	NA	41.82677	-71.45146	FALSE	FALSE	Yale Ave and Leah Street, Providence, RI, USA	FALSE	-71.45146729999999	41.826792	intersection	geometric_center	leah st & yale ave, providence, ri 02908, usa	NA	NA	NA	NA	41.826792	-71.45146729999999	2.5227814688557717
3407	2025-02-13	921350	09:30:00	Vehicle - Pedestrian	Pedestrian	DEXTER ST	CRANSTON ST	2025-02-13	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	1	NA	41.81241	-71.4295	FALSE	FALSE	Dexter Street and Cranston Street, Providence, RI, USA	FALSE	-71.4295953	41.8126211	intersection	geometric_center	cranston st & dexter st, providence, ri 02907, usa	NA	NA	NA	NA	41.8126211	-71.4295953	24.794144198798744
3439	2025-02-12	921336	17:53:00	Vehicle - Pedestrian	Bicycle	ADMIRAL ST	CHARLES ST	2025-02-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	3	1	Complains Of Pain	1	NA	41.8407	-71.41747	FALSE	FALSE	Admiral Street and Charles Street, Providence, RI, USA	FALSE	-71.4173959	41.8407577	intersection	geometric_center	admiral st & charles st, providence, ri 02904, usa	NA	NA	NA	NA	41.8407577	-71.4173959	8.889433409698087
3505	2025-02-09	921229	00:30:00	Vehicle - Pedestrian	Pedestrian	AMES ST	ATWELLS AVE	2025-02-09	Two-Way , Not Divided	Snow	Dark - Lighted	Snow	Angle - Direction Not Specified	No	No Controls	4	1	Complains Of Pain	2	NA	41.82418	-71.43098	FALSE	FALSE	Ames Street and Atwells Ave, Providence, RI, USA	FALSE	-71.43097639999999	41.8239056	intersection	geometric_center	atwells ave & ames st, providence, ri 02909, usa	NA	NA	NA	NA	41.8239056	-71.43097639999999	30.547528072592108
3554	2025-02-07	921191	12:21:00	Vehicle - Pedestrian	Pedestrian	CHARLES ST	SOCIAL ST	2025-02-07	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Fatal	1	NA	41.85378	-71.42052	FALSE	FALSE	Charles Street and Social Street, Providence, RI, USA	FALSE	-71.4205514	41.8539865	route	geometric_center	social st, providence, ri 02904, usa	NA	NA	NA	NA	41.8539865	-71.4205514	23.134445501415488
3578	2025-02-06	921177	21:20:00	Vehicle - Pedestrian	Scooter	BROAD ST	LAURA ST	2025-02-06	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	1	NA	41.80232	-71.41871	FALSE	FALSE	Broad Street and Laura Street, Providence, RI, USA	FALSE	-71.4186884	41.8023354	intersection	geometric_center	laura st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8023354	-71.4186884	2.4802637974200223
3601	2025-02-05	921137	07:53:00	Vehicle - Pedestrian	Pedestrian	HARTFORD AVE	LAUREL HILL AVE	2025-02-05	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	1	NA	41.81795	-71.45532	FALSE	FALSE	Hartford Ave and Laurel Hill Ave, Providence, RI, USA	FALSE	-71.4553147	41.8179563	intersection	geometric_center	laurel hill ave & hartford ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8179563	-71.4553147	0.827754800669352
3610	2025-02-04	921162	14:05:00	Vehicle - Pedestrian	Pedestrian	ORANGE ST	CLIFFORD ST	2025-02-06	One-Way Trafficway	Dry	Daylight	Clear	Sideswipe, Same Direction	No	Stop Signs	4	0	No Injury	2	NA	41.82204	-71.40841	FALSE	FALSE	Orange Street and Clifford Street, Providence, RI, USA	FALSE	-71.411465	41.8188242	route	geometric_center	clifford st, providence, ri 02903, usa	Orange Street & Clifford Street, Providence, RI, USA	EjRPcmFuZ2UgU3RyZWV0ICYgQ2xpZmZvcmQgU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJMx2vuhVF5IkRDVg69EEXWZASFAoSCTMdr7oVReSJEQ1YOvRBF1mQGhQKEgmflpg3FEXkiRHigSEom_QEuxoUChIJZyqQyBRF5IkR1x2mHDkn5EgiCg16ie0YFRLyb9U	41.822041	-71.40838219999999	41.822041	-71.40838219999999	2.308902485184866
