row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	year	month
76	2023-06-30	896463	11:53:00	Bicycle	NA	1	FALSE	FALSE	1	DOUGLAS AVE	DOUGLAS AVE	2023-06-30	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Person	3	1	Pain Reported	NA	41.84762	-71.43084	FALSE	FALSE	Douglas Ave and Douglas Ave, Providence, RI, USA	NA	Raw	TRUE	TRUE	Raw	41.84762	-71.43084	2023	June
77	2023-06-30	896465	12:30:00	Pedestrian	1	NA	FALSE	FALSE	1	Cranston Street	POTTERS AVE	2023-06-30	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Pain Reported	NA	41.80505	-71.43778	FALSE	FALSE	Cranston Street and Potters Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80505	-71.43778	2023	June
78	2023-07-01	896515	00:47:00	Bicycle	NA	NA	FALSE	FALSE	2	prairie ave	saratoga st	2023-07-02	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Same Direction	No	Stop Signs	2	1	Pain Reported	NA	NA	NA	FALSE	FALSE	Prairie Ave and Saratoga Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	NA	NA	2023	July
79	2023-07-01	896511	21:59:00	Bicycle	NA	1	FALSE	FALSE	1	Francie Street	Memorial Blvd	2023-07-01	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	Traffic Control Signal	1	1	Pain Reported	NA	41.82577	-71.41527	FALSE	FALSE	Francie Street and Memorial Blvd, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.82577	-71.41527	2023	July
80	2023-07-01	896499	10:30:00	Bicycle	NA	1	FALSE	FALSE	1	BENEFIT ST	COLLEGE ST	2023-07-01	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Non-Incapacitating	NA	41.826	-71.40683	FALSE	FALSE	Benefit Street and College Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.826	-71.40683	2023	July
81	2023-07-03	896566	18:33:00	Bicycle	NA	1	FALSE	FALSE	1	LENOX AVE	EMERSON ST	2023-07-03	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Pain Reported	NA	41.79828	-71.41478	FALSE	FALSE	Lenox Ave and Emerson Street, Providence, RI, USA	NA	Geocoded	TRUE	FALSE	Geocoded	NA	NA	2023	July
82	2023-07-05	896600	07:57:00	Bicycle	NA	1	FALSE	FALSE	1	PINE ST (AMOS HOUSE)	SOMERSET ST	2023-07-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	1	1	Pain Reported	NA	41.81237	-71.41967	FALSE	FALSE	Pine Street (Amos House) and Somerset Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81237	-71.41967	2023	July
83	2023-07-05	896606	12:35:00	Pedestrian	1	NA	FALSE	FALSE	1	761 BROAD ST	POTTERS AVE	2023-07-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	2	1	Pain Reported	NA	41.80327	-71.419	TRUE	FALSE	761 Broad Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80327	-71.419	2023	July
84	2023-07-06	896656	18:22:00	Bicycle	NA	1	FALSE	FALSE	1	FRANCIS ST	AMERICAN EXPRESS PLZ	2023-07-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	Pavement Markings	1	1	Pain Reported	NA	41.82745	-71.41541	FALSE	FALSE	Francis Street and American Express Plz, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.82745	-71.41541	2023	July
85	2023-07-08	896713	05:01:00	Other	NA	NA	TRUE	FALSE	1	S WATER ST	BRIDGE ST	2023-07-08	One-Way Trafficway	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	Yes	No Controls	2	2	Non-Incapacitating	NA	41.81839	-71.40153	FALSE	FALSE	S Water Street and Bridge Street, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.81839	-71.40153	2023	July
86	2023-07-13	896887	14:29:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	DEAN ST	2023-07-13	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Pain Reported	NA	41.8214	-71.42253	FALSE	FALSE	Broadway and Dean Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.8214	-71.42253	2023	July
87	2023-07-14	896908	08:51:00	Bicycle	NA	1	FALSE	FALSE	1	BROAD ST	BROAD ST	2023-07-14	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Pain Reported	NA	41.81414	-71.42131	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	NA	Raw	TRUE	TRUE	Raw	41.81414	-71.42131	2023	July
88	2023-07-17	897012	17:12:00	Bicycle	NA	1	FALSE	FALSE	1	ELMWOOD AVE	POTTERS AVE	2023-07-17	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Pain Reported	NA	41.80142	-71.42638	FALSE	FALSE	Elmwood Ave and Potters Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80142	-71.42638	2023	July
