row_number,crash_date,crash_report_id,crash_time,collision_type,count_pedestrian,count_bicycle,scooter,wheel_chair,number_of_vehicles,street_or_highway,nearest_intersection,report_date,type_of_roadway,road_surface_condition,light_condition,weather_condition,manner_of_impact,hit_and_run,traffic_control,person_count,injury_count,most_serious_injury,number_of_lanes,lat_raw,lon_raw,has_st_number,is_intersection_null,address_sent_to_geocoder,is_address_blank,lon_api_first_try,lat_api_first_try,type,loctype,address_returned_by_geocoder,address_returned_by_autocomplete,place_ids_autocompleted,lat_api_second_try,lon_api_second_try,lat_api_best,lon_api_best,api_coord_conf,distance_btwn_coords_meters
1333,2018-05-21,731274,11:53:00,Pedestrian,2,NA,FALSE,FALSE,1,E GEORGE ST,GANO ST,21-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,5,2,Incapacitating,NA,41.82587,-71.3904,FALSE,FALSE,"E George Street and Gano Street, Providence, RI, USA",FALSE,-71.3904024,41.8258647,intersection,geometric_center,"e george st & gano st, providence, ri 02906, usa",NA,NA,NA,NA,41.8258647,-71.3904024,Med High,0.6226775519195279
1334,2018-05-21,731291,17:04:00,Pedestrian,1,NA,FALSE,FALSE,1,ACADEMY AVE,MAPLEHURST AVE,21-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,5,1,Complains Of Pain,2,41.82681,-71.44364,FALSE,FALSE,"Academy Ave and Maplehurst Ave, Providence, RI, USA",FALSE,-71.4436575,41.8268375,intersection,geometric_center,"academy ave & maplehurst ave, providence, ri 02908, usa",NA,NA,NA,NA,41.8268375,-71.4436575,Med High,3.3880305868333633
1335,2018-05-20,731175,13:00:00,Bicycle,NA,1,FALSE,FALSE,1,Earl St,ELMWOOD AVE,20-May-18,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,2,1,Complains Of Pain,NA,41.79809,-71.42618,FALSE,FALSE,"Earl Street and Elmwood Ave, Providence, RI, USA",FALSE,-71.4262189,41.7981132,intersection,geometric_center,"elmwood ave & earl st, providence, ri 02907, usa",NA,NA,NA,NA,41.7981132,-71.4262189,Med High,4.134185845302082
1336,2018-05-20,732229,13:57:00,Bicycle,NA,1,FALSE,FALSE,1,7TH ST,HIGHLAND AVE,24-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,Stop Signs,2,1,Complains Of Pain,NA,41.83793,-71.42404,TRUE,FALSE,"7th Street, Providence, RI, USA",FALSE,-71.3980641,41.8526572,route,geometric_center,"7th st, providence, ri 02906, usa",NA,NA,NA,NA,41.8526572,-71.3980641,High,2707.0113823170277
1337,2018-05-19,730637,01:17:00,Pedestrian,1,NA,FALSE,FALSE,1,GASPEE ST,SMITH ST,19-May-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Complains Of Pain,NA,41.83152,-71.41281,FALSE,FALSE,"Gaspee Street and Smith Street, Providence, RI, USA",FALSE,-71.4128107,41.8315462,intersection,geometric_center,"gaspee st & smith st, providence, ri 02908, usa",NA,NA,NA,NA,41.8315462,-71.4128107,Med High,2.9171485324941777
1338,2018-05-19,730662,13:16:00,Bicycle,NA,1,FALSE,FALSE,1,LUBEC ST,DOUGLAS AVE,19-May-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,2,1,Complains Of Pain,NA,41.85573,-71.4417,FALSE,FALSE,"Lubec Street and Douglas Ave, Providence, RI, USA",FALSE,-71.4416833,41.8557294,intersection,geometric_center,"lubec st & douglas ave, providence, ri 02904, usa",NA,NA,NA,NA,41.8557294,-71.4416833,Med High,1.386270427133966
1339,2018-05-17,730033,00:58:00,Pedestrian,2,NA,FALSE,FALSE,1,S WATER ST,POINT ST,17-May-18,One-Way Trafficway,Wet,Dark - Lighted,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,4,2,Non-Incapacitating,NA,41.81869,-71.40178,FALSE,FALSE,"S Water Street and Point Street, Providence, RI, USA",FALSE,-71.4018957,41.8187467,intersection,geometric_center,"s water st & point st, providence, ri 02903, usa",NA,NA,NA,NA,41.8187467,-71.4018957,Med High,11.487976016019521
1340,2018-05-17,730101,11:37:00,Pedestrian,1,NA,FALSE,FALSE,1,SILVER SPRING ST,TOURO ST,17-May-18,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Non-Incapacitating,NA,41.84516,-71.41822,FALSE,FALSE,"Silver Spring Street and Touro Street, Providence, RI, USA",FALSE,-71.4181207,41.8452565,intersection,geometric_center,"silver spring st & touro st, providence, ri 02904, usa",NA,NA,NA,NA,41.8452565,-71.4181207,Med High,13.535430087233356
1341,2018-05-14,729290,16:56:00,Pedestrian,1,NA,FALSE,FALSE,1,PACKET ST,S MAIN ST,14-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Stop Signs,2,1,Complains Of Pain,NA,41.8235,-71.40617,FALSE,FALSE,"Packet Street and S Main Street, Providence, RI, USA",FALSE,-71.4037098,41.8208275,route,geometric_center,"s main st, providence, ri 02903, usa",NA,NA,NA,NA,41.8208275,-71.4037098,Med,360.77750447924524
1342,2018-05-11,728771,13:45:00,Pedestrian,1,NA,FALSE,FALSE,1,VALLEY ST,RIVER AVE,11-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,4,1,Complains Of Pain,2,41.82796,-71.43516,FALSE,FALSE,"Valley Street and River Ave, Providence, RI, USA",FALSE,-71.435152,41.827984,intersection,geometric_center,"valley st & river ave, providence, ri 02908, usa",NA,NA,NA,NA,41.827984,-71.435152,Med High,2.75284785123436
1343,2018-05-11,728778,19:28:00,Pedestrian,1,NA,FALSE,FALSE,1,SMITH ST,CHALKSTONE AVE,11-May-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.83542,-71.42616,FALSE,FALSE,"Smith Street and Chalkstone Ave, Providence, RI, USA",FALSE,-71.4256425,41.83522139999999,intersection,geometric_center,"chalkstone ave & smith st, providence, ri 02908, usa",NA,NA,NA,NA,41.83522139999999,-71.4256425,Med High,48.280720840272956
1344,2018-05-10,728408,12:40:00,Bicycle,NA,1,FALSE,FALSE,1,FEDERAL ST,DEAN ST,10-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.82228,-71.42327,FALSE,FALSE,"Federal Street and Dean Street, Providence, RI, USA",FALSE,-71.42327159999999,41.8222988,intersection,geometric_center,"dean st & federal st, providence, ri 02903, usa",NA,NA,NA,NA,41.8222988,-71.42327159999999,Med High,2.0970112943705495
1345,2018-05-09,728178,15:59:00,Other,NA,1,FALSE,FALSE,1,601 N MAIN ST,NA,09-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,0,No Injury,NA,41.83825,-71.40925,TRUE,TRUE,"601 N Main Street, Providence, RI, USA",FALSE,-71.40832139999999,41.83723930000001,subpremise,rooftop,"601 n main st, providence, ri 02904, usa",NA,NA,NA,NA,41.83723930000001,-71.40832139999999,High,136.34518435619674
