row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
1	2024-01-02	907406	15:14:00	Pedestrian	1	NA	FALSE	FALSE	1	95 Manton Ave	CHAFFEE ST	2024-01-02	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.81867	-71.44558	TRUE	FALSE	95 Manton Ave, Providence, RI, USA	FALSE	-71.44513289999999	41.8185648	premise	rooftop	95 manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8185648	-71.44513289999999	38.8970315907244
2	2024-01-02	907410	16:02:00	Bicycle	NA	1	TRUE	FALSE	1	BROAD ST	BROAD ST	2024-01-02	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.80153	-71.41838	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	FALSE	-71.410453	41.7948262	route	geometric_center	broad st, providence, ri, usa	NA	NA	NA	NA	41.7948262	-71.410453	994.8238019412461
3	2024-01-03	907421	10:57:00	Bicycle	NA	NA	FALSE	FALSE	2	DOUGLAS AVE	CRIMEA ST	2024-01-03	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	No	Stop Signs	3	0	No Injury	NA	41.83698	-71.42186	FALSE	FALSE	Douglas Ave and Crimea Street, Providence, RI, USA	FALSE	-71.4218604	41.8370137	intersection	geometric_center	crimea st & douglas ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8370137	-71.4218604	3.7516135257320675
4	2024-01-05	907478	10:00:00	Pedestrian	1	NA	FALSE	FALSE	1	DOYLE AVE	HOPE ST	2024-01-05	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Opposite Direction	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Non-Incapacitating	2	41.83877	-71.40017	FALSE	FALSE	Doyle Ave and Hope Street, Providence, RI, USA	FALSE	-71.4000949	41.8387918	intersection	geometric_center	hope st & doyle ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8387918	-71.4000949	6.684542149893355
5	2024-01-05	907489	18:31:00	Pedestrian	1	NA	TRUE	FALSE	1	CHALKSTONE AVE.	ACADEMY AVE	2024-01-05	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	4	1	Complains Of Pain	NA	41.83245	-71.44454	FALSE	FALSE	Chalkstone Ave. and Academy Ave, Providence, RI, USA	FALSE	-71.44453419999999	41.8324655	intersection	geometric_center	academy ave & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8324655	-71.44453419999999	1.7912615984516398
6	2024-01-07	907527	14:09:00	Pedestrian	1	NA	FALSE	FALSE	1	PORTLAND ST	BROAD ST	2024-01-07	Two-Way , Not Divided	Snow	Daylight	Snow	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.81407	-71.42115	FALSE	FALSE	Portland Street and Broad Street, Providence, RI, USA	FALSE	-71.42131280000001	41.8141655	intersection	geometric_center	portland st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8141655	-71.42131280000001	17.188990081811337
7	2024-01-09	907648	16:30:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	2024-01-09	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.81459	-71.42105	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	FALSE	-71.410453	41.7948262	route	geometric_center	broad st, providence, ri, usa	NA	NA	NA	NA	41.7948262	-71.410453	2369.3160580789004
8	2024-01-10	907676	18:03:00	Pedestrian	1	NA	TRUE	FALSE	1	WATERMAN ST	HOPE ST	2024-01-10	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.82758	-71.39723	FALSE	FALSE	Waterman Street and Hope Street, Providence, RI, USA	FALSE	-71.39724530000001	41.8275915	intersection	geometric_center	hope st & waterman st, providence, ri 02906, usa	NA	NA	NA	NA	41.8275915	-71.39724530000001	1.802653652388228
9	2024-01-11	907707	20:19:00	Pedestrian	1	NA	FALSE	FALSE	1	CARTER ST	ELMWOOD AVE	2024-01-11	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Non-Incapacitating	NA	41.8002	-71.42657	FALSE	FALSE	Carter Street and Elmwood Ave, Providence, RI, USA	FALSE	-71.4265547	41.80024270000001	intersection	geometric_center	carter st & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.80024270000001	-71.4265547	4.919995311070679
10	2024-01-12	907735	17:35:00	Bicycle	NA	1	TRUE	FALSE	1	BROAD ST	VERNDALE AVE	2024-01-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	4	1	Complains Of Pain	NA	41.79178	-71.4067	FALSE	FALSE	Broad Street and Verndale Ave, Providence, RI, USA	FALSE	-71.40668490000002	41.7917658	intersection	geometric_center	verndale ave & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.7917658	-71.40668490000002	2.0172662887086026
