row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
11	2024-01-12	907736	18:44:00	Pedestrian	1	NA	FALSE	FALSE	1	CRANSTON ST	HARRISON ST	2024-01-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.813	-71.42881	FALSE	FALSE	Cranston Street and Harrison Street, Providence, RI, USA	FALSE	-71.4286582	41.8131054	intersection	geometric_center	cranston st & harrison st, providence, ri 02907, usa	NA	NA	NA	NA	41.8131054	-71.4286582	17.213127260865587
12	2024-01-13	907772	18:22:00	Pedestrian	1	NA	FALSE	FALSE	1	POCASSET AVENUE	BANCROFT ST	2024-01-13	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	No Controls	2	0	No Injury	NA	41.81334	-71.44837	FALSE	FALSE	Pocasset Avenue and Bancroft Street, Providence, RI, USA	FALSE	-71.4483713	41.8133784	intersection	geometric_center	pocasset ave & bancroft st, providence, ri 02909, usa	NA	NA	NA	NA	41.8133784	-71.4483713	4.276028994463927
13	2024-01-13	907775	20:49:00	Bicycle	NA	1	FALSE	FALSE	1	Gallup St	GORDON AVE	2024-01-13	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Non-Incapacitating	NA	41.79971	-71.41403	FALSE	FALSE	Gallup Street and Gordon Ave, Providence, RI, USA	FALSE	-71.4140386	41.799723	intersection	geometric_center	gordon ave & gallup st, providence, ri 02907, usa	NA	NA	NA	NA	41.799723	-71.4140386	1.6135662650573024
14	2024-01-17	907876	12:15:00	Pedestrian	1	NA	FALSE	FALSE	1	RADEL ST	cHARLES sT	2024-01-17	Two-Way , Not Divided	Wet	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Yield Signs	3	1	Complains Of Pain	2	NA	NA	FALSE	FALSE	Radel Street and Charles Street, Providence, RI, USA	FALSE	-71.4195067	41.8473644	route	geometric_center	charles st, providence, ri, usa	NA	NA	NA	NA	41.8473644	-71.4195067	NA
15	2024-01-18	907922	15:19:00	Pedestrian	1	NA	FALSE	FALSE	1	HAWKINS ST	BRANCH AVE	2024-01-18	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.85054	-71.4225	FALSE	FALSE	Hawkins Street and Branch Ave, Providence, RI, USA	FALSE	-71.42145169999999	41.8509324	intersection	geometric_center	hawkins st & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8509324	-71.42145169999999	97.28364952482184
16	2024-01-18	907929	19:39:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	MARSHALL ST	2024-01-18	One-Way Trafficway	Ice/Frost	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.81912	-71.43223	FALSE	FALSE	Broadway and Marshall Street, Providence, RI, USA	FALSE	-71.4319893	41.8178679	route	geometric_center	marshall st, providence, ri 02909, usa	Broadway & Marshall Street, Providence, RI, USA	Ei9Ccm9hZHdheSAmIE1hcnNoYWxsIFN0cmVldCwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCR_bFmaeReSJEXeoTFxx3QIREhQKEgkf2xZmnkXkiRF3qExccd0CERoUChIJpbXlhnVF5IkRGsIzsdekb7MaFAoSCXdzf9mdReSJEal-nPEQ0Qe9IgoNChjtGBX3TWzV	41.819137	-71.43224409999999	41.819137	-71.43224409999999	2.2247740008490546
17	2024-01-19	907958	18:04:00	Bicycle	NA	1	FALSE	FALSE	1	VALLEY ST	BARSTOW ST	2024-01-19	Two-Way , Not Divided	Wet	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	0	No Injury	NA	41.82427	-71.43955	FALSE	FALSE	Valley Street and Barstow Street, Providence, RI, USA	FALSE	-71.4395873	41.82417909999999	intersection	geometric_center	valley st & barstow st, providence, ri 02909, usa	NA	NA	NA	NA	41.82417909999999	-71.4395873	10.581450884099864
18	2024-01-20	907979	14:11:00	Bicycle	NA	NA	FALSE	FALSE	2	CLADRASH'S AVE	MAPLE AVE	2024-01-20	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	0	No Injury	NA	41.78404	-71.4123	FALSE	FALSE	Cladrash's Ave and Maple Ave, Providence, RI, USA	FALSE	-71.4144615	41.7823585	route	geometric_center	maple ave, providence, ri, usa	NA	NA	NA	NA	41.7823585	-71.4144615	259.28698646160103
19	2024-01-20	907985	17:23:00	Pedestrian	1	NA	FALSE	FALSE	1	WATERMAN ST	WAYLAND AVE	2024-01-20	Two-Way , Not Divided	Wet	Dark - Lighted	Snow	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.8286	-71.38839	FALSE	FALSE	Waterman Street and Wayland Ave, Providence, RI, USA	FALSE	-71.3883771	41.828629	intersection	geometric_center	wayland ave & waterman st, providence, ri 02906, usa	NA	NA	NA	NA	41.828629	-71.3883771	3.400982934437716
20	2024-01-26	908125	08:04:00	Pedestrian	1	NA	TRUE	FALSE	1	GEORGE ST	HOPE ST	2024-01-26	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	0	No Injury	NA	41.82579	-71.39727	FALSE	FALSE	George Street and Hope Street, Providence, RI, USA	FALSE	-71.4000045	41.8389881	route	geometric_center	hope st, providence, ri, usa	George Street & Hope Street, Providence, RI, USA	EjBHZW9yZ2UgU3RyZWV0ICYgSG9wZSBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmrO17fOkXkiRFKEUPHX6jYWhIUChIJqzte3zpF5IkRShFDx1-o2FoaFAoSCcfqJGM7ReSJEbJnjjYuSZRlGhQKEgmRo8kFxUTkiRFr4T3VeAKWISIKDe4b7hgVIKRx1Q	41.8257902	-71.3972704	41.8257902	-71.3972704	0.03995826066096828
21	2024-01-27	908162	13:23:00	Pedestrian	1	NA	FALSE	FALSE	1	POTTERS AVE	ELMWOOD AVE	2024-01-27	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.80151	-71.42635	FALSE	FALSE	Potters Ave and Elmwood Ave, Providence, RI, USA	FALSE	-71.4263443	41.8015284	intersection	geometric_center	potters ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8015284	-71.4263443	2.1021852674967354
22	2024-01-30	908244	12:30:00	Pedestrian	1	NA	FALSE	FALSE	1	Frienship Street	Hay Street	2024-01-30	One-Way Trafficway	Dry	Daylight	Cloudy	Head-On (Front - to - Front)	No	Pavement Markings	3	1	Complains Of Pain	NA	NA	NA	FALSE	FALSE	Frienship Street and Hay Street, Providence, RI, USA	FALSE	-71.40843869999999	41.8230288	intersection	geometric_center	hay st & friendship st, providence, ri 02903, usa	NA	NA	NA	NA	41.8230288	-71.40843869999999	NA
23	2024-02-02	908300	10:17:00	Pedestrian	1	NA	FALSE	FALSE	1	1303 NORTH MAIN ST	N MAIN ST	2024-02-02	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.8558	-71.39988	TRUE	FALSE	1303 North Main Street, Providence, RI, USA	FALSE	-71.3992998	41.85607539999999	street_address	rooftop	1303 n main st, providence, ri 02904, usa	NA	NA	NA	NA	41.85607539999999	-71.3992998	57.04475463211359
24	2024-02-03	908339	15:35:00	Pedestrian	1	NA	FALSE	FALSE	1	Cranston St.	BENEDICT ST	2024-02-03	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.8056	-71.43705	FALSE	FALSE	Cranston St. and Benedict Street, Providence, RI, USA	FALSE	-71.4372805	41.80544039999999	intersection	geometric_center	cranston st & benedict st, providence, ri 02907, usa	NA	NA	NA	NA	41.80544039999999	-71.4372805	26.10516447477661
25	2024-02-03	908342	14:52:00	Pedestrian	1	NA	FALSE	FALSE	1	BUTLER AVE	S ANGELL ST	2024-02-03	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.82947	-71.38504	FALSE	FALSE	Butler Ave and S Angell Street, Providence, RI, USA	FALSE	-71.3850439	41.8294963	intersection	geometric_center	butler ave & s angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.8294963	-71.3850439	2.9455207581968974
26	2024-02-08	908450	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	PRISCILLA AVE	UNION AVE	2024-02-08	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.80736	-71.44574	FALSE	FALSE	Priscilla Ave and Union Ave, Providence, RI, USA	FALSE	-71.4457559	41.8073133	intersection	geometric_center	priscilla ave & union ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8073133	-71.4457559	5.363420038319758
27	2024-02-09	908480	10:09:00	Pedestrian	1	NA	FALSE	FALSE	1	North Main St	Rochambeau Ave	2024-02-09	Two-Way , Not Divided	Wet	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Complains Of Pain	4	NA	NA	FALSE	FALSE	North Main Street and Rochambeau Ave, Providence, RI, USA	FALSE	-71.4052146	41.8468221	intersection	geometric_center	rochambeau ave & n main st, providence, ri 02904, usa	NA	NA	NA	NA	41.8468221	-71.4052146	NA
28	2024-02-09	908511	18:45:00	Pedestrian	1	NA	FALSE	FALSE	1	WATERMAN ST	WAYLAND AVE	2024-02-09	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8286	-71.38838	FALSE	FALSE	Waterman Street and Wayland Ave, Providence, RI, USA	FALSE	-71.3883771	41.828629	intersection	geometric_center	wayland ave & waterman st, providence, ri 02906, usa	NA	NA	NA	NA	41.828629	-71.3883771	3.237215105978704
29	2024-02-12	908581	17:54:00	Bicycle	NA	1	FALSE	FALSE	1	ELMWOOD AVE	SPOONER ST	2024-02-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.77807	-71.42086	FALSE	FALSE	Elmwood Ave and Spooner Street, Providence, RI, USA	FALSE	-71.4209266	41.7780969	intersection	geometric_center	spooner st & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.7780969	-71.4209266	6.287619683057958
30	2024-02-14	908622	13:54:00	Pedestrian	1	NA	FALSE	FALSE	1	ANGELL STREET	ELMGROVE AVE	2024-02-14	One-Way Trafficway	Dry	Daylight	Clear	Other	No	No Controls	4	1	Non-Incapacitating	NA	41.82997	-71.38887	FALSE	FALSE	Angell Street and Elmgrove Ave, Providence, RI, USA	FALSE	-71.3893387	41.8299209	intersection	geometric_center	elmgrove ave & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.8299209	-71.3893387	39.25969983533377
31	2024-02-18	908751	01:40:00	Other	NA	NA	TRUE	FALSE	2	N MAIN ST	CEMETERY ST	2024-02-18	One-Way Trafficway	Dry	Dark - Lighted	Clear	Sideswipe, Same Direction	Yes, Driver Left Scene	No Controls	2	0	No Injury	NA	41.8474	-71.40481	FALSE	FALSE	N Main Street and Cemetery Street, Providence, RI, USA	FALSE	-71.4037688	41.849069	intersection	geometric_center	cemetery st & n main st, providence, ri 02904, usa	NA	NA	NA	NA	41.849069	-71.4037688	204.87396670677734
32	2024-02-18	908770	16:40:00	Bicycle	NA	1	FALSE	FALSE	1	WESTMINSTER ST.	MESSER ST	2024-02-18	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.81586	-71.43704	FALSE	FALSE	Westminster St. and Messer Street, Providence, RI, USA	FALSE	-71.43705469999999	41.8158828	intersection	geometric_center	messer st & westminster st, providence, ri 02909, usa	NA	NA	NA	NA	41.8158828	-71.43705469999999	2.815897257564242
33	2024-02-19	908787	15:32:00	Pedestrian	1	NA	FALSE	FALSE	1	CLIFF ST	VALLEY ST	2024-02-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Complains Of Pain	NA	41.82623	-71.43865	FALSE	FALSE	Cliff Street and Valley Street, Providence, RI, USA	FALSE	-71.4386549	41.8262675	intersection	geometric_center	cliff st & valley st, providence, ri 02908, usa	NA	NA	NA	NA	41.8262675	-71.4386549	4.194222750955628
34	2024-02-19	908791	12:25:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	WEST FRIENDSHIP ST	2024-02-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	2	1	Incapacitating	NA	41.80977	-71.42101	FALSE	FALSE	Broad Street and West Friendship Street, Providence, RI, USA	FALSE	-71.42102539999999	41.8098453	intersection	geometric_center	w friendship st & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8098453	-71.42102539999999	8.479190079675353
35	2024-02-21	908841	13:20:00	Pedestrian	1	NA	FALSE	FALSE	1	Adelaide Ave	Elmwood Ave	2024-02-21	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	2	NA	NA	FALSE	FALSE	Adelaide Ave and Elmwood Ave, Providence, RI, USA	FALSE	-71.4249889	41.79590779999999	intersection	geometric_center	adelaide ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.79590779999999	-71.4249889	NA
36	2024-02-22	908891	15:26:00	Pedestrian	1	NA	FALSE	FALSE	1	FELIX ST	CHALKSTONE AVE	2024-02-22	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.83452	-71.42838	FALSE	FALSE	Felix Street and Chalkstone Ave, Providence, RI, USA	FALSE	-71.4284074	41.8345879	intersection	geometric_center	felix st & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8345879	-71.4284074	7.892844895269361
37	2024-02-25	908947	10:14:00	Pedestrian	1	NA	FALSE	FALSE	1	THAYER ST	CUSHING ST	2024-02-25	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Non-Incapacitating	NA	41.83003	-71.4009	FALSE	FALSE	Thayer Street and Cushing Street, Providence, RI, USA	FALSE	-71.40089549999999	41.8300403	intersection	geometric_center	thayer st & cushing st, providence, ri 02906, usa	NA	NA	NA	NA	41.8300403	-71.40089549999999	1.2058170873178455
38	2024-02-28	908997	12:03:00	Bicycle	NA	1	FALSE	FALSE	1	NORTH MAIN ST	EVERGREEN ST	2024-02-28	Two-Way, Divided, Positive Median Barrier	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Incapacitating	NA	41.84488	-71.40615	FALSE	FALSE	North Main Street and Evergreen Street, Providence, RI, USA	FALSE	-71.406139	41.8449085	intersection	geometric_center	evergreen st & n main st, providence, ri 02906, usa	NA	NA	NA	NA	41.8449085	-71.406139	3.3011431219441083
39	2024-02-28	909015	17:14:00	Pedestrian	1	NA	FALSE	FALSE	1	NEW YORK AVE	ALLENS AVE	2024-02-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Non-Incapacitating	NA	41.791	-71.39665	FALSE	FALSE	New York Ave and Allens Ave, Providence, RI, USA	FALSE	-71.3966587	41.79102839999999	intersection	geometric_center	allens ave & new york ave, providence, ri 02905, usa	NA	NA	NA	NA	41.79102839999999	-71.3966587	3.2428866366878912
40	2024-02-28	909019	18:58:00	Pedestrian	1	NA	FALSE	FALSE	1	DUDLEY ST.	PLAIN ST	2024-02-28	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	41.81022	-71.41121	FALSE	FALSE	Dudley St. and Plain Street, Providence, RI, USA	FALSE	-71.41121420000002	41.8102467	intersection	geometric_center	plain st & dudley st, providence, ri 02903, usa	NA	NA	NA	NA	41.8102467	-71.41121420000002	2.9925901439665616
41	2024-03-01	909052	19:33:00	Bicycle	NA	1	FALSE	FALSE	1	NIANTIC AVE	CRANSTON ST	2024-03-01	Two-Way, Not Divided With a Continuous Left Turn Lane	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.80339	-71.44	FALSE	FALSE	Niantic Ave and Cranston Street, Providence, RI, USA	FALSE	-71.4400177	41.8034155	intersection	geometric_center	cranston st & niantic ave, cranston, ri 02907, usa	NA	NA	NA	NA	41.8034155	-71.4400177	3.196124994822891
42	2024-03-02	909103	17:52:00	Pedestrian	1	NA	FALSE	FALSE	1	ORMS ST	SMITH ST	2024-03-02	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	0	No Injury	NA	41.83376	-71.42199	FALSE	FALSE	Orms Street and Smith Street, Providence, RI, USA	FALSE	-71.42197639999999	41.8337813	intersection	geometric_center	orms st & smith st, providence, ri 02904, usa	NA	NA	NA	NA	41.8337813	-71.42197639999999	2.6257488331032373
43	2024-03-04	909148	15:49:00	Pedestrian	1	NA	FALSE	FALSE	1	DABOLL ST	BUCKLIN ST	2024-03-04	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	2	41.80409	-71.42772	FALSE	FALSE	Daboll Street and Bucklin Street, Providence, RI, USA	FALSE	-71.427733	41.8041117	intersection	geometric_center	bucklin st & daboll st, providence, ri 02907, usa	NA	NA	NA	NA	41.8041117	-71.427733	2.645558941401929
44	2024-03-05	909179	14:52:00	Pedestrian	1	NA	FALSE	FALSE	1	MAUDE ST	SMITH ST	2024-03-05	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	41.83755	-71.43347	FALSE	FALSE	Maude Street and Smith Street, Providence, RI, USA	FALSE	-71.4334816	41.8375815	intersection	geometric_center	maude st & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.8375815	-71.4334816	3.6361484578889502
45	2024-03-07	909248	16:50:00	Pedestrian	1	NA	TRUE	FALSE	1	HOLLYWOOD RD	PARADE ST	2024-03-07	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.81577	-71.43307	FALSE	FALSE	Hollywood Rd and Parade Street, Providence, RI, USA	FALSE	-71.4330927	41.8157878	intersection	geometric_center	hollywood rd & parade st, providence, ri 02909, usa	NA	NA	NA	NA	41.8157878	-71.4330927	2.7337115766606868
46	2024-03-10	909326	17:10:00	Pedestrian	1	NA	FALSE	FALSE	1	THAYER ST	MEETING ST	2024-03-10	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82915	-71.40079	FALSE	FALSE	Thayer Street and Meeting Street, Providence, RI, USA	FALSE	-71.40078439999999	41.8291625	intersection	geometric_center	thayer st & meeting st, providence, ri 02906, usa	NA	NA	NA	NA	41.8291625	-71.40078439999999	1.4669779190519485
47	2024-03-12	909347	04:01:00	Pedestrian	1	NA	FALSE	FALSE	1	CANTON ST	LINTON ST	2024-03-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83161	-71.44238	FALSE	FALSE	Canton Street and Linton Street, Providence, RI, USA	FALSE	-71.4423831	41.8316147	intersection	geometric_center	linton st & canton st, providence, ri 02908, usa	NA	NA	NA	NA	41.8316147	-71.4423831	0.5829713494665222
