row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
11	2023-04-17	893070	13:07:00	Bicycle	NA	1	FALSE	FALSE	1	COLLEGE ST	S MAIN ST	2023-04-17	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	4	1	Complains Of Pain	NA	41.82578	-71.40745	FALSE	FALSE	College Street and S Main Street, Providence, RI, USA	FALSE	-71.4037098	41.8208275	route	geometric_center	s main st, providence, ri 02903, usa	College Street & South Main Street, Providence, RI, USA	EjdDb2xsZWdlIFN0cmVldCAmIFNvdXRoIE1haW4gU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJD1urSRZF5IkRzGbOghZosXsSFAoSCQ9bq0kWReSJEcxmzoIWaLF7GhQKEgnR5cstFkXkiRH1TvxbNfBkPhoUChIJxfz7Uz5F5IkRx3FZv-YChPQiCg2TF-4YFdUHcNU	41.8256787	-71.4078251	41.8256787	-71.4078251	33.095930980932664
12	2023-04-18	893107	16:46:00	Pedestrian	1	NA	FALSE	FALSE	1	705 ELMWOOD AVE	LONGFELLOW ST	2023-04-18	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.79067	-71.42219	TRUE	FALSE	705 Elmwood Ave, Providence, RI, USA	FALSE	-71.42381379999999	41.7922996	premise	rooftop	705 elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.7922996	-71.42381379999999	225.98967981054562
13	2023-04-20	893182	19:33:00	Bicycle	NA	1	FALSE	FALSE	1	DABOLL ST	UPDIKE ST	2023-04-20	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.80416	-71.42418	FALSE	FALSE	Daboll Street and Updike Street, Providence, RI, USA	FALSE	-71.4224174	41.804229	intersection	geometric_center	updike st & daboll st, providence, ri 02907, usa	NA	NA	NA	NA	41.804229	-71.4224174	146.46311356865147
14	2023-04-20	893158	12:05:00	Pedestrian	1	NA	FALSE	FALSE	1	W RIVER ST	CHARLES ST	2023-04-20	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83975	-71.41628	FALSE	FALSE	W River Street and Charles Street, Providence, RI, USA	FALSE	-71.4164329	41.8396195	intersection	geometric_center	charles st & w river st, providence, ri 02904, usa	NA	NA	NA	NA	41.8396195	-71.4164329	19.283140355772048
15	2023-04-21	893219	20:43:00	Bicycle	NA	1	FALSE	FALSE	1	FOREST ST	IVY ST	2023-04-21	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Non-Incapacitating	NA	41.84334	-71.39996	FALSE	FALSE	Forest Street and Ivy Street, Providence, RI, USA	FALSE	-71.3997277	41.8438261	route	geometric_center	ivy st, providence, ri 02906, usa	Forest Street & Ivy Street, Providence, RI, USA	Ei9Gb3Jlc3QgU3RyZWV0ICYgSXZ5IFN0cmVldCwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCQHYpIjbROSJEdGXMmJpLoyBEhQKEgkB2KSI20TkiRHRlzJiaS6MgRoUChIJEVDfj9tE5IkRAiXcI_DiGQkaFAoSCfuN7YPbROSJEdmLoqjrINHRIgoNKcvwGBV6O3HV	41.8433833	-71.3999494	41.8433833	-71.3999494	4.899635816639202
16	2023-04-27	893404	18:37:00	Pedestrian	1	NA	FALSE	FALSE	1	ADMIRAL STREET	HAWKINS ST	2023-04-27	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	0	No Injury	NA	41.84591	-71.42835	FALSE	FALSE	Admiral Street and Hawkins Street, Providence, RI, USA	FALSE	-71.4283351	41.8459297	intersection	geometric_center	admiral st & hawkins st, providence, ri 02908, usa	NA	NA	NA	NA	41.8459297	-71.4283351	2.5171298083235407
17	2023-04-28	893437	17:41:00	Pedestrian	1	NA	FALSE	FALSE	1	Academy Ave.	CHALKSTONE AVE	2023-04-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8324	-71.44452	FALSE	FALSE	Academy Ave. and Chalkstone Ave, Providence, RI, USA	FALSE	-71.44452489999999	41.8324538	intersection	geometric_center	academy ave & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8324538	-71.44452489999999	6.002763221695537
18	2023-04-28	893429	17:12:00	Bicycle	NA	1	FALSE	FALSE	1	NORTH MAIN ST.	STEEPLE ST	2023-04-28	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	2	1	Complains Of Pain	NA	41.82749	-71.40907	FALSE	FALSE	North Main St. and Steeple Street, Providence, RI, USA	FALSE	-71.4090484	41.8274736	intersection	geometric_center	steeple st & n main st, providence, ri 02903, usa	NA	NA	NA	NA	41.8274736	-71.4090484	2.5579781926115164
19	2023-04-28	893425	10:06:00	Pedestrian	1	NA	TRUE	FALSE	1	WOODMAN ST	BUCKLIN ST	2023-04-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	41.80846	-71.42772	FALSE	FALSE	Woodman Street and Bucklin Street, Providence, RI, USA	FALSE	-71.4279229	41.8085288	intersection	geometric_center	bucklin st & woodman st, providence, ri 02907, usa	NA	NA	NA	NA	41.8085288	-71.4279229	18.495819274374544
20	2023-04-28	893435	20:06:00	Pedestrian	1	NA	FALSE	FALSE	1	ADMIRAL ST	CRANDALL ST	2023-04-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	41.84957	-71.43987	FALSE	FALSE	Admiral Street and Crandall Street, Providence, RI, USA	FALSE	-71.43984689999999	41.84959569999999	intersection	geometric_center	admiral st & crandall st, providence, ri 02908, usa	NA	NA	NA	NA	41.84959569999999	-71.43984689999999	3.442952810764501
