row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
41	2023-05-28	895360	18:37:00	Pedestrian	2	NA	TRUE	FALSE	1	BROAD ST	CALLA ST	2023-05-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	3	2	Complains Of Pain	NA	41.78985	-71.40487	FALSE	FALSE	Broad Street and Calla Street, Providence, RI, USA	FALSE	-71.4048545	41.7898178	intersection	geometric_center	calla st & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.7898178	-71.4048545	3.80835930955836
42	2023-05-29	895643	13:03:00	Bicycle	NA	1	FALSE	FALSE	2	Elmwood ave	ADELAIDE AVE	2023-06-05	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	6	5	Complains Of Pain	NA	41.79589	-71.425	FALSE	FALSE	Elmwood Ave and Adelaide Ave, Providence, RI, USA	FALSE	-71.42499500000001	41.79588700000001	intersection	geometric_center	adelaide ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.79588700000001	-71.42499500000001	0.5326511923691457
43	2023-05-29	895380	10:53:00	Bicycle	NA	NA	FALSE	FALSE	2	4TH ST	HOPE ST	2023-05-29	Two-Way , Not Divided	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	2	0	No Injury	NA	41.8493	-71.39491	FALSE	FALSE	4th Street and Hope Street, Providence, RI, USA	FALSE	-71.3948887	41.8492949	intersection	geometric_center	hope st & 4th st, providence, ri 02906, usa	NA	NA	NA	NA	41.8492949	-71.3948887	1.8552427960546674
44	2023-05-30	895437	18:34:00	Bicycle	NA	1	FALSE	FALSE	1	MAPLEHURST AVE	ACADEMY AVE	2023-05-30	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	0	No Injury	NA	41.82689	-71.44288	FALSE	FALSE	Maplehurst Ave and Academy Ave, Providence, RI, USA	FALSE	-71.4436575	41.8268375	intersection	geometric_center	academy ave & maplehurst ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8268375	-71.4436575	64.75881904870543
45	2023-05-30	895414	09:09:00	Pedestrian	1	NA	FALSE	FALSE	1	325 Ocean St	RICHARDSON ST	2023-05-30	Unknown	Dry	Daylight	Clear	Other	No	No Controls	2	1	Complains Of Pain	NA	41.79744	-71.40834	TRUE	FALSE	325 Ocean Street, Providence, RI, USA	FALSE	-71.4081017	41.7966241	street_address	rooftop	325 ocean st, providence, ri 02905, usa	NA	NA	NA	NA	41.7966241	-71.4081017	92.95371889881132
46	2023-06-01	895524	15:46:00	Pedestrian	1	NA	FALSE	FALSE	1	WESTMINSTER ST	SNOW ST	2023-06-01	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.82165	-71.41436	FALSE	FALSE	Westminster Street and Snow Street, Providence, RI, USA	FALSE	-71.414361	41.82166309999999	intersection	geometric_center	snow st & westminster st, providence, ri 02903, usa	NA	NA	NA	NA	41.82166309999999	-71.414361	1.460643050883013
47	2023-06-02	895547	08:21:00	Bicycle	NA	1	FALSE	FALSE	1	HOLLYWOOD RD	DEXTER ST	2023-06-02	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.81598	-71.43109	FALSE	FALSE	Hollywood Rd and Dexter Street, Providence, RI, USA	FALSE	-71.4311089	41.816009	intersection	geometric_center	hollywood rd & dexter st, providence, ri 02909, usa	NA	NA	NA	NA	41.816009	-71.4311089	3.5889355655239474
48	2023-06-02	895575	17:28:00	Pedestrian	1	NA	FALSE	FALSE	1	FRANCIS ST.	MEMORIAL BLVD	2023-06-02	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.82683	-71.41549	FALSE	FALSE	Francis St. and Memorial Blvd, Providence, RI, USA	FALSE	-71.4134258	41.8263996	route	geometric_center	memorial blvd, providence, ri 02903, usa	Francis St & Memorial Blvd, Providence, RI, USA	Ei9GcmFuY2lzIFN0ICYgTWVtb3JpYWwgQmx2ZCwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCQO1zp0RReSJEUruZ-18xt6AEhQKEgkDtc6dEUXkiRFK7mftfMbegBoUChIJ4wolWRBF5IkRCddrkmwOQpsaFAoSCfcsM7UWReSJEazOdHl45Nq9IgoNHCDuGBVb4G7V	41.8258972	-71.4153893	41.8258972	-71.4153893	104.17426539997642
49	2023-06-04	895614	02:06:00	Pedestrian	1	NA	FALSE	FALSE	1	143 Friendship Street	Richmond Street	2023-06-04	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81986	-71.4115	TRUE	FALSE	143 Friendship Street, Providence, RI, USA	FALSE	-71.4118419	41.819818	street_address	rooftop	143 friendship st, providence, ri 02903, usa	NA	NA	NA	NA	41.819818	-71.4118419	28.74688594995912
50	2023-06-06	895680	15:57:00	Other	NA	NA	FALSE	FALSE	1	BRANCH AVE	WOODWARD RD	2023-06-06	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	0	No Injury	NA	41.8535	-71.42816	FALSE	FALSE	Branch Ave and Woodward Rd, Providence, RI, USA	FALSE	-71.42806279999999	41.8534892	intersection	geometric_center	woodward rd & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8534892	-71.42806279999999	8.148680510765239
51	2023-06-06	895690	22:49:00	Other	NA	NA	TRUE	FALSE	2	WATERMAN ST	THAYER ST	2023-06-06	One-Way Trafficway	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	2	1	Complains Of Pain	NA	41.82728	-71.40054	FALSE	FALSE	Waterman Street and Thayer Street, Providence, RI, USA	FALSE	-71.4005559	41.8272892	intersection	geometric_center	thayer st & waterman st, providence, ri 02906, usa	NA	NA	NA	NA	41.8272892	-71.4005559	1.6698501891967092
52	2023-06-08	895731	11:53:00	Bicycle	NA	2	FALSE	FALSE	1	374 WICKENDEN ST	NA	2023-06-08	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	No	No Controls	3	2	Complains Of Pain	NA	NA	NA	TRUE	TRUE	374 Wickenden Street, Providence, RI, USA	FALSE	-71.3958203	41.8198177	premise	rooftop	374 wickenden st, providence, ri 02903, usa	NA	NA	NA	NA	41.8198177	-71.3958203	NA
53	2023-06-08	895727	13:44:00	Other	NA	2	TRUE	FALSE	1	Broadway	BRADFORD ST	2023-06-08	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Stop Signs	4	0	No Injury	NA	41.82154	-71.42199	FALSE	FALSE	Broadway and Bradford Street, Providence, RI, USA	FALSE	-71.4217897	41.8232404	route	geometric_center	bradford st, providence, ri 02903, usa	Broadway & Bradford Street, Providence, RI, USA	Ei9Ccm9hZHdheSAmIEJyYWRmb3JkIFN0cmVldCwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCaNCMMwMReSJEeXAucW1r13BEhQKEgmjQjDMDEXkiRHlwLnFta9dwRoUChIJpbXlhnVF5IkRGsIzsdekb7MaFAoSCSlG3PkMReSJEUasCeiqPc01IgoN43XtGBVb3W3V	41.8215395	-71.42201969999999	41.8215395	-71.42201969999999	2.4644844429112456
54	2023-06-08	895733	18:00:00	Pedestrian	2	NA	TRUE	FALSE	1	WILLIAMS ST	BENEFIT ST	2023-06-08	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	41.82205	-71.40317	FALSE	FALSE	Williams Street and Benefit Street, Providence, RI, USA	FALSE	-71.4031718	41.82206	intersection	geometric_center	benefit st & williams st, providence, ri 02903, usa	NA	NA	NA	NA	41.82206	-71.4031718	1.1231653400324815
55	2023-06-09	895744	07:38:00	Pedestrian	1	NA	TRUE	FALSE	1	CANAL ST	MILL ST	2023-06-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	4	1	Complains Of Pain	NA	41.8323	-71.41095	FALSE	FALSE	Canal Street and Mill Street, Providence, RI, USA	FALSE	-71.5342119	42.0140642	intersection	geometric_center	mill st & canal st, north smithfield, ri 02896, usa	NA	NA	NA	NA	42.0140642	-71.5342119	22663.642015127993
56	2023-06-09	895783	22:24:00	Pedestrian	1	NA	FALSE	FALSE	1	BRANCH AVE	VANDEWATER ST	2023-06-09	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.85358	-71.42847	FALSE	FALSE	Branch Ave and Vandewater Street, Providence, RI, USA	FALSE	-71.428823	41.8536926	intersection	geometric_center	vandewater st & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8536926	-71.428823	31.840554350488517
57	2023-06-09	895780	21:44:00	Pedestrian	1	NA	FALSE	FALSE	1	CRANSTON ST	WALDO ST	2023-06-09	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.80634	-71.4363	FALSE	FALSE	Cranston Street and Waldo Street, Providence, RI, USA	FALSE	-71.4363086	41.8063492	intersection	geometric_center	cranston st & waldo st, providence, ri 02909, usa	NA	NA	NA	NA	41.8063492	-71.4363086	1.2482384211569764
58	2023-06-09	895753	14:07:00	Bicycle	NA	1	FALSE	FALSE	1	BROADWAY	DE PASQUALE AVE	2023-06-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	0	No Injury	NA	41.82077	-71.42526	FALSE	FALSE	Broadway and De Pasquale Ave, Providence, RI, USA	FALSE	-71.4262101	41.8224893	route	geometric_center	de pasquale ave, providence, ri 02903, usa	Broadway & De Pasquale Ave, Providence, RI, USA	Ei9Ccm9hZHdheSAmIERlIFBhc3F1YWxlIEF2ZSwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCTd39r50ReSJEQRLbIypVmNIEhQKEgk3d_a-dEXkiREES2yMqVZjSBoUChIJpbXlhnVF5IkRGsIzsdekb7MaFAoSCeVqSDILReSJEem1Phldyo7CIgoNM1jtGBX2X23V	41.8207795	-71.4252298	41.8207795	-71.4252298	2.7194178584725206
59	2023-06-11	895838	13:00:00	Pedestrian	1	NA	TRUE	FALSE	1	BRANCH AVE	CHATHAM ST	2023-06-11	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Opposite Direction	No	No Controls	2	1	Complains Of Pain	NA	41.84904	-71.41728	FALSE	FALSE	Branch Ave and Chatham Street, Providence, RI, USA	FALSE	-71.4165807	41.84872	intersection	geometric_center	chatham st & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.84872	-71.4165807	68.05536072900864
60	2023-06-12	895854	00:01:00	Pedestrian	1	NA	TRUE	FALSE	1	N MAIN ST	N MAIN ST	2023-06-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Stop Signs	3	1	Complains Of Pain	NA	41.84127	-71.40818	FALSE	FALSE	N Main Street and N Main Street, Providence, RI, USA	FALSE	-71.700964	41.9595187	intersection	geometric_center	n main st & pascoag main st, burrillville, ri 02859, usa	NA	NA	NA	NA	41.9595187	-71.700964	27600.1150776089
61	2023-06-13	895906	15:13:00	Bicycle	NA	1	TRUE	FALSE	1	WASHINGTON AVE	MICHIGAN AVE	2023-06-13	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.78872	-71.39272	FALSE	FALSE	Washington Ave and Michigan Ave, Providence, RI, USA	FALSE	-71.3927154	41.7894605	route	geometric_center	michigan ave, providence, ri 02905, usa	Washington Ave & Michigan Ave, Providence, RI, USA	EjJXYXNoaW5ndG9uIEF2ZSAmIE1pY2hpZ2FuIEF2ZSwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCe9lI8D6T-SJETcgCRfkdaSUEhQKEgnvZSPA-k_kiRE3IAkX5HWklBoUChIJga3pLe5P5IkR8DyewvvEGDAaFAoSCYkQ6ZH6T-SJEaZd1LLRH1OLIgoN_nPoGBUSVnLV	41.788723	-71.392715	41.788723	-71.392715	0.5326873422221614
62	2023-06-15	895994	08:08:00	Pedestrian	1	NA	FALSE	FALSE	1	OAKLAND AVE	SMITH ST	2023-06-15	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.83623	-71.43046	FALSE	FALSE	Oakland Ave and Smith Street, Providence, RI, USA	FALSE	-71.43045500000001	41.8362474	intersection	geometric_center	oakland ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.8362474	-71.43045500000001	1.9808540859837125
63	2023-06-15	896015	19:50:00	Bicycle	NA	1	FALSE	FALSE	1	Canal Street	Elizabeth Street	2023-06-15	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.82762	-71.41022	FALSE	FALSE	Canal Street and Elizabeth Street, Providence, RI, USA	FALSE	-74.0018946	40.7194006	route	geometric_center	canal st, new york, ny, usa	Canal Street & Elizabeth Street, Providence, RI, USA	EjRDYW5hbCBTdHJlZXQgJiBFbGl6YWJldGggU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJZ4JoExdF5IkRpvs_rKOhGK8SFAoSCWeCaBMXReSJEab7P6yjoRivGhQKEgnL1JjQGUXkiRH7a0IlEEkAshoUChIJGZD6chdF5IkRJjk8b-2FLNUiCg0hZO4YFSuqb9U	41.8276385	-71.4102229	41.8276385	-71.4102229	2.0734123920598115
64	2023-06-18	896102	23:55:00	Pedestrian	1	NA	FALSE	FALSE	1	CRANSTON ST	POTTERS AVE	2023-06-19	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Non-Incapacitating	NA	41.80508	-71.43774	FALSE	FALSE	Cranston Street and Potters Ave, Providence, RI, USA	FALSE	-71.43779049999999	41.8050672	intersection	geometric_center	potters ave & cranston st, providence, ri 02909, usa	NA	NA	NA	NA	41.8050672	-71.43779049999999	4.426090670478895
65	2023-06-19	896129	15:28:00	Bicycle	NA	1	TRUE	FALSE	1	SUMTER ST	NIAGARA ST	2023-06-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Complains Of Pain	NA	41.79655	-71.41802	FALSE	FALSE	Sumter Street and Niagara Street, Providence, RI, USA	FALSE	-71.4175735	41.7967042	intersection	geometric_center	sumter st & niagara st, providence, ri 02907, usa	NA	NA	NA	NA	41.7967042	-71.4175735	40.83798820521565
66	2023-06-19	896119	12:29:00	Pedestrian	1	NA	FALSE	FALSE	1	EDDY ST	DUDLEY ST	2023-06-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Incapacitating	NA	41.81111	-71.40714	FALSE	FALSE	Eddy Street and Dudley Street, Providence, RI, USA	FALSE	-71.4071917	41.8108122	intersection	geometric_center	eddy st & dudley st, providence, ri 02905, usa	NA	NA	NA	NA	41.8108122	-71.4071917	33.4273263423644
67	2023-06-20	896173	16:53:00	Pedestrian	1	NA	FALSE	FALSE	1	Whelan Road	BODELL AVE	2023-06-20	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Opposite Direction	No	No Controls	2	1	Complains Of Pain	NA	41.81843	-71.45502	FALSE	FALSE	Whelan Road and Bodell Ave, Providence, RI, USA	FALSE	-71.454308	41.818283	intersection	geometric_center	bodell ave & whelan rd, providence, ri 02909, usa	NA	NA	NA	NA	41.818283	-71.454308	61.293874721589525
68	2023-06-21	896194	13:29:00	Other	NA	1	TRUE	FALSE	1	CARPENTER ST	COURTLAND ST	2023-06-21	One-Way Trafficway	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Stop Signs	4	0	No Injury	NA	41.81766	-71.43067	FALSE	FALSE	Carpenter Street and Courtland Street, Providence, RI, USA	FALSE	-71.43067289999999	41.8176676	intersection	geometric_center	carpenter st & courtland st, providence, ri 02909, usa	NA	NA	NA	NA	41.8176676	-71.43067289999999	0.8795729788264663
69	2023-06-22	896250	19:19:00	Pedestrian	1	NA	FALSE	FALSE	1	POCASSET AVE	PLAINFIELD ST	2023-06-22	Unknown	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81361	-71.44805	FALSE	FALSE	Pocasset Ave and Plainfield Street, Providence, RI, USA	FALSE	-71.44779419999999	41.8138447	intersection	geometric_center	pocasset ave & plainfield st, providence, ri 02909, usa	NA	NA	NA	NA	41.8138447	-71.44779419999999	33.66052528367819
70	2023-06-26	896360	11:17:00	Bicycle	NA	1	FALSE	FALSE	1	Cranston Street	BURGESS ST	2023-06-26	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.81672	-71.42293	FALSE	FALSE	Cranston Street and Burgess Street, Providence, RI, USA	FALSE	-71.3504737	41.8978375	route	geometric_center	burgess st, rhode island, usa	NA	NA	NA	NA	41.8978375	-71.3504737	10845.735039228108
71	2023-06-28	896420	17:52:00	Pedestrian	1	NA	FALSE	FALSE	1	silver spring st.	BRANCH AVE	2023-06-28	Unknown	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.84775	-71.41481	FALSE	FALSE	Silver Spring St. and Branch Ave, Providence, RI, USA	FALSE	-71.4147046	41.8478499	intersection	geometric_center	silver spring st & branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8478499	-71.4147046	14.14438521781932
72	2023-06-28	896405	02:34:00	Pedestrian	2	NA	TRUE	FALSE	1	BROAD ST	SERVICE ROAD 7	2023-06-28	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	2	Complains Of Pain	NA	41.81736	-71.41696	FALSE	FALSE	Broad Street and Service Road 7, Providence, RI, USA	FALSE	-71.4169619	41.8173697	intersection	geometric_center	service rd 1 & broad st, providence, ri 02903, usa	NA	NA	NA	NA	41.8173697	-71.4169619	1.091243989364587
73	2023-06-28	896414	13:38:00	Bicycle	NA	1	FALSE	FALSE	1	COLLEGE ST	BENEFIT ST	2023-06-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	4	1	Complains Of Pain	NA	41.826	-71.40683	FALSE	FALSE	College Street and Benefit Street, Providence, RI, USA	FALSE	-71.4068354	41.8260134	route	geometric_center	benefit st, providence, ri, usa	College Street & Benefit Street, Providence, RI, USA	EjRDb2xsZWdlIFN0cmVldCAmIEJlbmVmaXQgU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJT1PH0hdF5IkRsjAAs9BpeJgSFAoSCU9Tx9IXReSJEbIwALPQaXiYGhQKEgnR5cstFkXkiRH1TvxbNfBkPhoUChIJedk4CD1F5IkRxfbmqgrCUioiCg2mJO4YFX4ucNU	41.8260134	-71.40683539999999	41.8260134	-71.40683539999999	1.5574868370005728
74	2023-06-29	896455	21:00:00	Pedestrian	1	NA	FALSE	FALSE	1	249 THAYER ST	CUSHING ST	2023-06-30	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.82983	-71.40088	TRUE	FALSE	249 Thayer Street, Providence, RI, USA	FALSE	-71.4005461	41.8284694	premise	rooftop	249 thayer st, providence, ri 02906, usa	NA	NA	NA	NA	41.8284694	-71.4005461	153.97277956855487
75	2023-06-30	896458	10:18:00	Pedestrian	1	NA	FALSE	FALSE	1	RT 6 EAST DEAN ST EXIT	DEAN ST	2023-06-30	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.8245	-71.42546	FALSE	FALSE	Rt 6 East Dean Street Exit and Dean Street, Providence, RI, USA	FALSE	-71.4242155	41.8234078	route	geometric_center	dean st, providence, ri, usa	NA	NA	NA	NA	41.8234078	-71.4242155	159.50058895757869
76	2023-06-30	896463	11:53:00	Bicycle	NA	1	FALSE	FALSE	1	DOUGLAS AVE	DOUGLAS AVE	2023-06-30	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Person	3	1	Complains Of Pain	NA	41.84762	-71.43084	FALSE	FALSE	Douglas Ave and Douglas Ave, Providence, RI, USA	FALSE	-71.4649957	41.8715442	intersection	geometric_center	douglas pike & douglas ave, north providence, ri 02904, usa	NA	NA	NA	NA	41.8715442	-71.4649957	3887.4066343738414
77	2023-06-30	896465	12:30:00	Pedestrian	1	NA	FALSE	FALSE	1	Cranston Street	POTTERS AVE	2023-06-30	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.80505	-71.43778	FALSE	FALSE	Cranston Street and Potters Ave, Providence, RI, USA	FALSE	-71.43779049999999	41.8050672	intersection	geometric_center	potters ave & cranston st, providence, ri 02909, usa	NA	NA	NA	NA	41.8050672	-71.43779049999999	2.1036145564996684
78	2023-07-01	896515	00:47:00	Bicycle	NA	NA	FALSE	FALSE	2	prairie ave	saratoga st	2023-07-02	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Same Direction	No	Stop Signs	2	1	Complains Of Pain	NA	NA	NA	FALSE	FALSE	Prairie Ave and Saratoga Street, Providence, RI, USA	FALSE	-71.4146448	41.8051685	intersection	geometric_center	saratoga st & prairie ave, providence, ri 02905, usa	NA	NA	NA	NA	41.8051685	-71.4146448	NA
79	2023-07-01	896511	21:59:00	Bicycle	NA	1	FALSE	FALSE	1	Francie Street	Memorial Blvd	2023-07-01	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.82577	-71.41527	FALSE	FALSE	Francie Street and Memorial Blvd, Providence, RI, USA	FALSE	-71.4134258	41.8263996	route	geometric_center	memorial blvd, providence, ri 02903, usa	NA	NA	NA	NA	41.8263996	-71.4134258	168.27115436057002
80	2023-07-01	896499	10:30:00	Bicycle	NA	1	FALSE	FALSE	1	BENEFIT ST	COLLEGE ST	2023-07-01	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Non-Incapacitating	NA	41.826	-71.40683	FALSE	FALSE	Benefit Street and College Street, Providence, RI, USA	FALSE	-71.40683539999999	41.8260134	intersection	geometric_center	benefit st & college st, providence, ri 02903, usa	NA	NA	NA	NA	41.8260134	-71.40683539999999	1.5574868370005728
81	2023-07-03	896566	18:33:00	Bicycle	NA	1	FALSE	FALSE	1	LENOX AVE	EMERSON ST	2023-07-03	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.79828	-71.41478	FALSE	FALSE	Lenox Ave and Emerson Street, Providence, RI, USA	FALSE	-71.41606349999999	41.7979139	intersection	geometric_center	lenox ave & emerson st, providence, ri 02907, usa	NA	NA	NA	NA	41.7979139	-71.41606349999999	114.04599649676986
82	2023-07-05	896600	07:57:00	Bicycle	NA	1	FALSE	FALSE	1	PINE ST (AMOS HOUSE)	SOMERSET ST	2023-07-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81237	-71.41967	FALSE	FALSE	Pine Street (Amos House) and Somerset Street, Providence, RI, USA	FALSE	-71.4194378	41.8124889	establishment	rooftop	460 pine st, providence, ri 02907, usa	NA	NA	NA	NA	41.8124889	-71.4194378	23.374185979592973
83	2023-07-05	896606	12:35:00	Pedestrian	1	NA	FALSE	FALSE	1	761 BROAD ST	POTTERS AVE	2023-07-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.80327	-71.419	TRUE	FALSE	761 Broad Street, Providence, RI, USA	FALSE	-71.4192813	41.8033083	street_address	rooftop	761 broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8033083	-71.4192813	23.72893737511349
84	2023-07-06	896656	18:22:00	Bicycle	NA	1	FALSE	FALSE	1	FRANCIS ST	AMERICAN EXPRESS PLZ	2023-07-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Pavement Markings	1	1	Complains Of Pain	NA	41.82745	-71.41541	FALSE	FALSE	Francis Street and American Express Plz, Providence, RI, USA	FALSE	-71.4128343	41.8239891	locality	approximate	providence, ri, usa	NA	NA	NA	NA	41.8239891	-71.4128343	440.5459489815115
85	2023-07-08	896713	05:01:00	Other	NA	NA	TRUE	FALSE	1	S WATER ST	BRIDGE ST	2023-07-08	One-Way Trafficway	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	Yes, M/V and Driver Left Scene	No Controls	2	2	Non-Incapacitating	NA	41.81839	-71.40153	FALSE	FALSE	S Water Street and Bridge Street, Providence, RI, USA	FALSE	-71.4039536	41.8202174	route	geometric_center	s water st, providence, ri 02903, usa	NA	NA	NA	NA	41.8202174	-71.4039536	286.02216223538545
