row_number	crash_report_id	street_or_highway	nearest_intersection	traffic_control	type	type_of_roadway	address_sent_to_geocoder	lat_raw	lon_raw	lat_api_best	lon_api_best	distance_btwn_coords_meters	best_coords	reason_for_qa
4	892777	BROAD ST	BROAD ST	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Broad Street and Broad Street, Providence, RI, USA	41.79151	-71.40636	41.7945838	-71.4101636	465.5498882706233	Raw	distance greater than 100m
5	892838	CHARLES ST.	CHARLES ST	No Controls	route	Two-Way , Not Divided	Charles St. and Charles Street, Providence, RI, USA	41.85302	-71.42041	41.8474982	-71.419539	618.9125107686419	Not yet determined	distance greater than 100m
12	893107	705 ELMWOOD AVE	LONGFELLOW ST	No Controls	premise	Two-Way, Divided, Positive Median Barrier	705 Elmwood Ave, Providence, RI, USA	41.79067	-71.42219	41.7922996	-71.42381379999999	225.9896798105456	Not yet determined	distance greater than 100m
13	893182	DABOLL ST	UPDIKE ST	No Controls	intersection	Two-Way , Not Divided	Daboll Street and Updike Street, Providence, RI, USA	41.80416	-71.42418	41.804229	-71.4224174	146.4631135686515	Not yet determined	distance greater than 100m
22	893472	EXCHANGE TERR	DORRANCE STREET	Traffic Control Signal	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Exchange Terr and Dorrance Street, Providence, RI, USA	41.8248	-71.41439	41.8233534	-71.4113407	299.86329417894945	Not yet determined	distance greater than 100m
29	893784	DUDLEY ST	DUDLEY ST EXIT 19	No Controls	route	Two-Way , Not Divided	Dudley Street and Dudley St Exit 19, Providence, RI, USA	41.8108	-71.40727	41.8099609	-71.4135956	533.0984229527637	Not yet determined	distance greater than 100m
31	893835	CHARLES ST	CHARLES ST	Pavement Markings	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Charles Street and Charles Street, Providence, RI, USA	41.83672	-71.41282	41.8474982	-71.419539	1322.901039788743	Raw	distance greater than 100m
39	895286	RAILROAD ST	PARK ROW	No Controls	route	One-Way Trafficway	Railroad Street and Park Row, Providence, RI, USA	41.82902	-71.41297	41.8285609	-71.4101424	240.04922032368367	Not yet determined	distance greater than 100m
48	895575	FRANCIS ST.	MEMORIAL BLVD	No Controls	route	Two-Way , Not Divided	Francis St. and Memorial Blvd, Providence, RI, USA	41.82683	-71.41549	41.8258972	-71.4153893	104.17426539997642	Not yet determined	distance greater than 100m
55	895744	CANAL ST	MILL ST	Stop Signs	intersection	Two-Way , Not Divided	Canal Street and Mill Street, Providence, RI, USA	41.8323	-71.41095	42.0140642	-71.5342119	22663.642015127996	Not yet determined	distance greater than 100m
60	895854	N MAIN ST	N MAIN ST	Stop Signs	intersection	Two-Way , Not Divided	N Main Street and N Main Street, Providence, RI, USA	41.84127	-71.40818	41.9595187	-71.700964	27600.1150776089	Raw	distance greater than 100m
70	896360	Cranston Street	BURGESS ST	No Controls	route	Two-Way , Not Divided	Cranston Street and Burgess Street, Providence, RI, USA	41.81672	-71.42293	41.8978375	-71.3504737	10845.735039228108	Not yet determined	distance greater than 100m
74	896455	249 THAYER ST	CUSHING ST	No Controls	premise	One-Way Trafficway	249 Thayer Street, Providence, RI, USA	41.82983	-71.40088	41.8284694	-71.4005461	153.97277956855487	Not yet determined	distance greater than 100m
75	896458	RT 6 EAST DEAN ST EXIT	DEAN ST	Traffic Control Signal	route	One-Way Trafficway	Rt 6 East Dean Street Exit and Dean Street, Providence, RI, USA	41.8245	-71.42546	41.8234078	-71.4242155	159.50058895757869	Not yet determined	distance greater than 100m
76	896463	DOUGLAS AVE	DOUGLAS AVE	Person	intersection	Two-Way , Not Divided	Douglas Ave and Douglas Ave, Providence, RI, USA	41.84762	-71.43084	41.8715442	-71.4649957	3887.406634373842	Raw	distance greater than 100m
79	896511	Francie Street	Memorial Blvd	Traffic Control Signal	route	Two-Way, Divided, Positive Median Barrier	Francie Street and Memorial Blvd, Providence, RI, USA	41.82577	-71.41527	41.8263996	-71.4134258	168.27115436057002	Not yet determined	distance greater than 100m
81	896566	LENOX AVE	EMERSON ST	Traffic Control Signal	intersection	Two-Way , Not Divided	Lenox Ave and Emerson Street, Providence, RI, USA	41.79828	-71.41478	41.7979139	-71.41606349999999	114.04599649676986	Not yet determined	distance greater than 100m
84	896656	FRANCIS ST	AMERICAN EXPRESS PLZ	Pavement Markings	locality	Two-Way , Not Divided	Francis Street and American Express Plz, Providence, RI, USA	41.82745	-71.41541	41.8239891	-71.4128343	440.5459489815115	Not yet determined	distance greater than 100m
85	896713	S WATER ST	BRIDGE ST	No Controls	route	One-Way Trafficway	S Water Street and Bridge Street, Providence, RI, USA	41.81839	-71.40153	41.8202174	-71.4039536	286.02216223538545	Not yet determined	distance greater than 100m
87	896908	BROAD ST	BROAD ST	Pavement Markings	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.81414	-71.42131	41.7945838	-71.4101636	2365.3263463820663	Raw	distance greater than 100m
90	897051	PINE ST	FRIENDSHIP ST	Traffic Control Signal	route	One-Way Trafficway	Pine Street and Friendship Street, Providence, RI, USA	41.81638	-71.41587	41.8188374	-71.412506	390.79840918864727	Not yet determined	distance greater than 100m
91	897103	DUDLEY ST.	DUDLEY ST EXIT 19	No Controls	route	Two-Way , Not Divided	Dudley St. and Dudley Street Exit 19, Providence, RI, USA	41.81079	-71.40731	41.8099609	-71.4135956	529.636103311601	Not yet determined	distance greater than 100m
95	897252	BROAD ST	BROAD ST	Traffic Control Signal	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.79217	-71.40717	41.7945838	-71.4101636	365.96445796606935	Raw	distance greater than 100m
97	897322	11 POINT ST	EDDY ST	No Controls	street_address	Two-Way, Divided, Positive Median Barrier	11 Point Street, Providence, RI, USA	41.80523	-71.58683	41.8176778	-71.4048346	15163.814302823845	Not yet determined	distance greater than 100m
98	897328	HUNTINGTON AVE	STATE HWY 10 S	No Controls	route	One-Way Trafficway	Huntington Ave and State Hwy 10 S, Providence, RI, USA	41.80462	-71.44098	41.8000436	-71.4401367	514.2264256675522	Not yet determined	distance greater than 100m
