row_number	crash_report_id	street_or_highway	nearest_intersection	traffic_control	type	type_of_roadway	address_sent_to_geocoder	lat_raw	lon_raw	lat_api_best	lon_api_best	distance_btwn_coords_meters	best_coords	reason_for_qa
100	898461	PEKIN STREET	CHALKSTONE AVE	Traffic Control Signal	intersection	Two-Way, Divided, Unprotected (painted>4feet) Medium	Pekin Street and Chalkstone Ave, Providence, RI, USA	41.83521	-71.42565	41.8356376	-71.4241584	132.55491654250278	Not yet determined	distance greater than 100m
101	898479	DORRANCE ST	EXCHANGE TER	Traffic Control Signal	route	Two-Way, Divided, Positive Median Barrier	Dorrance Street and Exchange Ter, Providence, RI, USA	41.8248	-71.41404	41.825713	-71.4127397	148.2035420264088	Not yet determined	distance greater than 100m
104	898635	741 RIVER AVE	REGENT AVE	No Controls	premise	Two-Way, Divided, Unprotected (painted>4feet) Medium	741 River Ave, Providence, RI, USA	41.83017	-71.43678	41.8482011	-71.43880159999999	2014.203072079236	Not yet determined	distance greater than 100m
109	898763	COLFAX ST	GORDON AVE	No Controls	intersection	Two-Way , Not Divided	Colfax Street and Gordon Ave, Providence, RI, USA	41.79888	-71.41549	41.7992087	-71.4138321	142.3670975521116	Not yet determined	distance greater than 100m
113	898988	HARTFORD AVE	US HWY 6 E	No Controls	intersection	Two-Way, Divided, Unprotected (painted>4feet) Medium	Hartford Ave and Us Hwy 6 E, Providence, RI, USA	41.81713	-71.44856	41.8282813	-71.5150798	5656.157562832398	Not yet determined	distance greater than 100m
117	899085	CHARLES ST	CANAL ST	No Controls	route	Two-Way , Not Divided	Charles Street and Canal Street, Providence, RI, USA	41.83321	-71.41131	41.8300387	-71.4110637	353.6181209750305	Not yet determined	distance greater than 100m
120	899211	325 VALLEY ST	ATWELLS AVE	No Controls	premise	Two-Way , Not Divided	325 Valley Street, Providence, RI, USA	41.50747	-71.32858	41.8259072	-71.4379021	36595.43894714013	Not yet determined	distance greater than 100m
124	899461	LEXINGTON AVE	ELMWOOD AVE	No Controls	intersection	Two-Way , Not Divided	Lexington Ave and Elmwood Ave, Providence, RI, USA	41.79758	-71.42435	41.7971966	-71.4257154	121.08497452689151	Not yet determined	distance greater than 100m
143	900034	101 dudley st	GAY ST	Person	premise	One-Way Trafficway	101 Dudley Street, Providence, RI, USA	41.81007	-71.4125	41.8110921	-71.4125943	114.0483607623235	Not yet determined	distance greater than 100m
167	901587	PARK ROW WEST	AMERICAN EXPRESS PLZ	No Controls	locality	Two-Way , Not Divided	Park Row West and American Express Plz, Providence, RI, USA	41.82867	-71.41276	41.8239891	-71.4128343	521.1118533668421	Not yet determined	distance greater than 100m
169	901707	593 Eddy Street	Eddy St/ Dudley St	No Controls	premise	Two-Way , Not Divided	593 Eddy Street, Providence, RI, USA	41.81189	-71.40706	41.8113828	-71.4084855	131.06053905039752	Not yet determined	distance greater than 100m
188	904392	PUBLIC ST	ELMWOOD AVE	Traffic Control Signal	route	Two-Way , Not Divided	Public Street and Elmwood Ave, Providence, RI, USA	41.80222	-71.42547	41.7920613	-71.4229658	1149.798954388185	Not yet determined	distance greater than 100m
192	904494	ADELAIDE AVE	ELMWOOD AVE	No Controls	intersection	Two-Way , Not Divided	Adelaide Ave and Elmwood Ave, Providence, RI, USA	41.79634	-71.42352	41.79588700000001	-71.42499500000001	132.39184753132815	Not yet determined	distance greater than 100m
203	904807	NARRAGANSETT BLVD	NARRAGANSETT BLVD	No Controls	intersection	Two-Way , Not Divided	Narragansett Blvd and Narragansett Blvd, Providence, RI, USA	41.78621	-71.39507	41.78398749999999	-71.39433629999999	254.7929267604715	Raw	distance greater than 100m
209	906193	BROAD ST	BROAD ST	Pavement Markings	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.80704	-71.42018	41.7945838	-71.4101636	1616.6694052881603	Raw	distance greater than 100m
212	906287	BROADWAY	SUTTON ST	No Controls	route	Two-Way , Not Divided	Broadway and Sutton Street, Providence, RI, USA	41.82021	-71.42762	41.8223667	-71.4285391	251.8994733100676	Not yet determined	distance greater than 100m
213	906318	PLAINFIELD ST	PLAINFIELD ST	Pavement Markings	route	Two-Way , Not Divided	Plainfield Street and Plainfield Street, Providence, RI, USA	41.81501	-71.44633	41.8067161	-71.4643452	1756.9087218339423	Raw	distance greater than 100m
219	906500	WASHINGTON ST	SERVICE ROAD 8	Pavement Markings	street_address	Two-Way , Not Divided	Washington Street and Service Road 8, Providence, RI, USA	41.82021	-71.41885	41.7939064	-71.391257	3716.9838235708858	Not yet determined	distance greater than 100m
220	906499	Hartford Ave.	HARTFORD AVE	No Controls	route	Two-Way , Not Divided	Hartford Ave. and Hartford Ave, Providence, RI, USA	41.81761	-71.45341	41.829423	-71.5357282	6954.215363564757	Not yet determined	distance greater than 100m
226	906720	NORTH MAIN ST	N MAIN ST	No Controls	route	Two-Way, Divided, Positive Median Barrier	North Main Street and N Main Street, Providence, RI, USA	41.83921	-71.40904	41.9621081	-71.7012105	27806.322376603865	Not yet determined	distance greater than 100m
230	906838	NORTH MAIN ST	N MAIN ST	Pavement Markings	route	Two-Way, Divided, Positive Median Barrier	North Main Street and N Main Street, Providence, RI, USA	41.84578	-71.40564	41.9621081	-71.7012105	27701.47435691551	Not yet determined	distance greater than 100m
236	907020	BROAD ST.	BROAD ST	No Controls	route	Two-Way , Not Divided	Broad St. and Broad Street, Providence, RI, USA	41.81443	-71.42115	41.7945838	-71.4101636	2389.975062285067	Not yet determined	distance greater than 100m
52	895731	374 WICKENDEN ST	NA	No Controls	premise	Two-Way , Not Divided	374 Wickenden Street, Providence, RI, USA	NA	NA	41.8198177	-71.3958203	NA	NA	raw coords null but geocoded coords found
78	896515	prairie ave	saratoga st	Stop Signs	intersection	Two-Way , Not Divided	Prairie Ave and Saratoga Street, Providence, RI, USA	NA	NA	41.8051685	-71.4146448	NA	NA	raw coords null but geocoded coords found
102	898550	BROADWAY	BRADFORD ST	No Controls	route	Two-Way , Not Divided	Broadway and Bradford Street, Providence, RI, USA	NA	NA	41.8215395	-71.42201969999999	NA	NA	raw coords null but geocoded coords found
154	900285	460 CHARLES ST	NA	No Controls	premise	Unknown	460 Charles Street, Providence, RI, USA	NA	NA	41.8467883	-71.41985489999999	NA	NA	raw coords null but geocoded coords found
202	904784	UNION AVE	WHITEHALL ST	No Controls	intersection	Two-Way , Not Divided	Union Ave and Whitehall Street, Providence, RI, USA	NA	NA	41.8078048	-71.4439058	NA	NA	raw coords null but geocoded coords found
237	907071	ORMS STREET	BATH STREET	Stop Signs	intersection	Two-Way , Not Divided	Orms Street and Bath Street, Providence, RI, USA	NA	NA	41.8332163	-71.42545270000001	NA	NA	raw coords null but geocoded coords found
241	907555	Broad St	Aldrich St	No Controls	intersection	Two-Way , Not Divided	Broad Street and Aldrich Street, Providence, RI, USA	NA	NA	41.793628	-71.4089741	NA	NA	raw coords null but geocoded coords found
