row_number	crash_report_id	street_or_highway	nearest_intersection	traffic_control	type	type_of_roadway	address_sent_to_geocoder	lat_raw	lon_raw	lat_api_best	lon_api_best	distance_btwn_coords_meters	best_coords	reason_for_qa
1	920089	TERMINAL ROAD	NEW YORK AVE	Unknown	intersection	Unknown	Terminal Road and New York Ave, Providence, RI, USA	41.79613	-71.39506	41.7943605	-71.3864663	739.9116433016932	Not yet determined	distance greater than 100m
11	920278	GREENWICH ST	BUCKLIN ST	No Controls	intersection	Two-Way , Not Divided	Greenwich Street and Bucklin Street, Providence, RI, USA	41.80237	-71.4261	41.8023394	-71.4276629	129.7387930743196	Not yet determined	distance greater than 100m
14	920331	Allens Ave	ALLENS AVE	No Controls	route	Two-Way , Not Divided	Allens Ave and Allens Ave, Providence, RI, USA	41.79296	-71.3973	41.8030598	-71.4014015	1174.6990190286947	Not yet determined	distance greater than 100m
15	920371	SMITHFIELD AVE	SMITHFIELD AVE	Traffic Control Signal	route	Two-Way, Divided, Positive Median Barrier	Smithfield Ave and Smithfield Ave, Providence, RI, USA	41.85501	-71.40489	41.856414	-71.4524168	3943.72681107726	Raw	distance greater than 100m
22	920597	EXIT 22A (RT )	FRANCIS ST	Pavement Markings	route	Two-Way, Divided, Positive Median Barrier	Exit 22a (Rt ) and Francis Street, Providence, RI, USA	41.82577	-71.41527	41.8283071	-71.4152951	282.4363545169425	Not yet determined	distance greater than 100m
25	920756	BRANCH AVE EXIT	BRANCH AVE	Traffic Control Signal	route	Two-Way, Divided, Positive Median Barrier	Branch Ave Exit and Branch Ave, Providence, RI, USA	41.8464	-71.41175	41.8512794	-71.4222562	1026.6598681881044	Not yet determined	distance greater than 100m
53	921467	BROAD ST	PINE ST	No Controls	intersection	Two-Way , Not Divided	Broad Street and Pine Street, Providence, RI, USA	41.81167	-71.42151	41.8107393	-71.42125469999999	105.74833297991628	Not yet determined	distance greater than 100m
69	921929	BROAD ST	BROAD ST	No Controls	route	Unknown	Broad Street and Broad Street, Providence, RI, USA	41.81003	-71.42108	41.8004646	-71.4174197	1107.286389989498	Raw	distance greater than 100m
98	922690	MITCHELL ST	NIAGARA ST	Pavement Markings	intersection	Two-Way , Not Divided	Mitchell Street and Niagara Street, Providence, RI, USA	41.80165	-71.41844	41.8011804	-71.42003389999999	142.22409109013842	Not yet determined	distance greater than 100m
101	923005	ELMWOOD AVE	ELMWOOD AVE	Unknown	route	Two-Way , Not Divided	Elmwood Ave and Elmwood Ave, Providence, RI, USA	41.80999	-71.42398	41.7787537	-71.4207394	3487.5945239260095	Raw	distance greater than 100m
105	923015	FRANCIS ST	AMERICAN EXPRESS PLZ	Unknown	locality	Two-Way , Not Divided	Francis Street and American Express Plz, Providence, RI, USA	41.8272	-71.41544	41.8244836	-71.4127462	375.9945935922896	Not yet determined	distance greater than 100m
114	923242	PLAINFIELD ST	RT 6 EXIT	No Controls	street_address	Two-Way , Not Divided	Plainfield Street and Rt 6 Exit, Providence, RI, USA	41.81478	-71.44659	41.8165432	-71.4438318	301.481677548274	Not yet determined	distance greater than 100m
120	923309	SMITH STREET	ACADEMY AVENUE	No Controls	intersection	Two-Way , Not Divided	Smith Street and Academy Avenue, Providence, RI, USA	41.82269	-71.46671	41.842608	-71.4451576	2848.138311935938	Not yet determined	distance greater than 100m
124	923396	VALLEY ST	DEAN ST	Pavement Markings	route	Two-Way , Not Divided	Valley Street and Dean Street, Providence, RI, USA	41.83139	-71.42848	41.8234242	-71.4242087	954.9117914515924	Not yet determined	distance greater than 100m
133	923545	60 VALLEY ST	SCHOOL ST	No Controls	premise	Two-Way, Divided, Unprotected (painted>4feet) Medium	60 Valley Street, Providence, RI, USA	41.81896	-71.44059	41.8184676	-71.44164719999999	103.42675461595222	Not yet determined	distance greater than 100m
134	923551	SHIPYARD ST	ERNEST ST	No Controls	intersection	Two-Way , Not Divided	Shipyard Street and Ernest Street, Providence, RI, USA	41.79151	-71.39129	41.7946722	-71.393991	417.3321362102968	Not yet determined	distance greater than 100m
153	923920	WARRINGTON ST	EMERSON ST	No Controls	intersection	Two-Way , Not Divided	Warrington Street and Emerson Street, Providence, RI, USA	41.79667	-71.41277	41.7960247	-71.4150086	199.1871956969765	Not yet determined	distance greater than 100m
156	924078	BLACKSTONE BLVD	BLACKSTONE BLVD	No Controls	route	Two-Way , Not Divided	Blackstone Blvd and Blackstone Blvd, Providence, RI, USA	41.84622	-71.38677	41.8450084	-71.3870999	137.6212955874507	Raw	distance greater than 100m
162	924168	350 POINT STREET	NA	No Controls	street_address	Two-Way, Divided, Unprotected (painted>4feet) Medium	350 Point Street, Providence, RI, USA	41.81668	-71.40954	41.8139618	-71.4166794	665.1414147808514	Not yet determined	distance greater than 100m
166	924380	BROAD ST	BROAD ST	Unknown	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.79187	-71.4068	41.8004646	-71.4174197	1300.8161584541847	Raw	distance greater than 100m
189	924858	MEMORIAL BLVD	EXIT 22A  (RT )	Traffic Control Signal	locality	Two-Way, Divided, Positive Median Barrier	Memorial Blvd and Exit 22a  (Rt ), Providence, RI, USA	41.82578	-71.41522	41.8244836	-71.4127462	250.8743706364255	Not yet determined	distance greater than 100m
193	924893	Butler Dr	BLACKSTONE BLVD	No Controls	intersection	Two-Way, Not Divided With a Continuous Left Turn Lane	Butler Dr and Blackstone Blvd, Providence, RI, USA	41.84616	-71.38673	41.8330728	-71.38384049999999	1476.4381334204952	Not yet determined	distance greater than 100m
196	924942	TOCKWOTTON ST	S MAIN ST	Stop Signs	intersection	Two-Way , Not Divided	Tockwotton Street and S Main Street, Providence, RI, USA	41.81692	-71.4001	41.8174589	-71.39904419999999	106.16667967152055	Not yet determined	distance greater than 100m
201	925098	Killingly St	KILLINGLY ST	No Controls	route	Two-Way , Not Divided	Killingly Street and Killingly Street, Providence, RI, USA	41.81408	-71.46186	41.8217334	-71.4700583	1090.1682550982207	Not yet determined	distance greater than 100m
207	925160	BROAD STREET	HASKINS STREET	No Controls	intersection	Two-Way, Divided, Unprotected (painted>4feet) Medium	Broad Street and Haskins Street, Providence, RI, USA	41.81573	-71.4186	41.8161624	-71.4196691	100.91737327606675	Not yet determined	distance greater than 100m
225	925436	BROADWAY	GREENMAN LN	Unknown	doctor	Unknown	Broadway and Greenman Ln, Providence, RI, USA	41.82232	-71.41867	41.8109879	-71.4119953	1377.6770455316816	Not yet determined	distance greater than 100m
231	925558	ELMWOOD AVE	ELMWOOD AVE	No Controls	route	Two-Way , Not Divided	Elmwood Ave and Elmwood Ave, Providence, RI, USA	41.8112	-71.42317	41.7787537	-71.4207394	3617.534190891237	Raw	distance greater than 100m
248	925765	HAWTHORNE AVE	HAWTHORNE AVE	No Controls	route	Two-Way , Not Divided	Hawthorne Ave and Hawthorne Ave, Providence, RI, USA	41.79276	-71.40809	41.7910172	-71.4104488	275.6187508145772	Raw	distance greater than 100m
249	925766	BROAD ST	BROAD ST	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Broad Street and Broad Street, Providence, RI, USA	41.79217	-71.40717	41.8004646	-71.4174197	1255.4476439910422	Raw	distance greater than 100m
252	926328	WILSON ST	FULLER ST	Unknown	intersection	Unknown	Wilson Street and Fuller Street, Providence, RI, USA	41.81129	-71.42405	41.81145739999999	-71.4257314	140.7469892076248	Not yet determined	distance greater than 100m
262	926023	PARK ST	BROWNELL ST	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Park Street and Brownell Street, Providence, RI, USA	41.83023	-71.41735	41.8303508	-71.4187672	118.31882204347328	Not yet determined	distance greater than 100m
