row_number	crash_report_id	street_or_highway	nearest_intersection	traffic_control	type	type_of_roadway	address_sent_to_geocoder	lat_raw	lon_raw	lat_api_best	lon_api_best	distance_btwn_coords_meters	best_coords	reason_for_qa
3777	23573	850 manton ave	CHALKSTONE AVE	No Controls	premise	Two-Way , Not Divided	850 Manton Ave, Providence, RI, USA	41.83392	-71.4671	41.8329814	-71.4659043	144.057621	Not yet determined	distance greater than 100m
3774	23859	BROAD ST	BROAD ST	No Controls	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.81379	-71.42152	41.7945838	-71.4101636	2336.491402	Raw	distance greater than 100m
3769	23997	ATWELLS AVE	EXIT	Traffic Control Signal	route	Two-Way , Not Divided	Atwells Ave and Exit, Providence, RI, USA	41.82309	-71.4195	41.8244829	-71.4363598	1407.177002	Not yet determined	distance greater than 100m
3759	25406	FRANCIS ST	AMERICAN EXPRESS PLZ	Traffic Control Signal	locality	Two-Way , Not Divided	Francis Street and American Express Plz, Providence, RI, USA	41.82745	-71.41541	41.8239891	-71.4128343	440.545949	Not yet determined	distance greater than 100m
3756	25990	DORRANCE ST	EXCHANGE TER	No Controls	route	One-Way Trafficway	Dorrance Street and Exchange Ter, Providence, RI, USA	41.82475	-71.41373	41.825713	-71.4127397	135.0569841	Not yet determined	distance greater than 100m
3753	26348	BRANCH AVE	EXIT	No Controls	locality	Two-Way, Divided, Unprotected (painted>4feet) Medium	Branch Ave and Exit, Providence, RI, USA	41.85262	-71.42544	41.8239891	-71.4128343	3354.267209	Not yet determined	distance greater than 100m
3742	27783	BRANCH AVE	RT146 On Ramp	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Branch Ave and Rt146 On Ramp, Providence, RI, USA	41.85301	-71.42634	41.8515249	-71.4228521	333.1271821	Not yet determined	distance greater than 100m
3733	27810	CHARLES ST	CHARLES ST	No Controls	route	Two-Way, Divided, Positive Median Barrier	Charles Street and Charles Street, Providence, RI, USA	41.83588	-71.41192	41.8474982	-71.419539	1439.428223	Raw	distance greater than 100m
3726	28067	ROOSEVELT ST	BANCROFT ST	No Controls	intersection	Two-Way , Not Divided	Roosevelt Street and Bancroft Street, Providence, RI, USA	41.81501	-71.44633	41.811977	-71.4469149	341.1017052	Not yet determined	distance greater than 100m
3727	28087	345 Blackstone Blvd	Butler drive	No Controls	street_address	One-Way Trafficway	345 Blackstone Blvd, Providence, RI, USA	41.84363	-71.38112	41.846263	-71.385631	475.2381712	Not yet determined	distance greater than 100m
